model,params,cv_rmse,cv_mae,cv_r2
ridge,"{""alpha"": 5.62}",0.6802160105852476,0.5823035055792938,0.420721360767224
ridge,"{""alpha"": 3.16}",0.685103170662252,0.5890541874951825,0.4123675512081457
ridge,"{""alpha"": 10.0}",0.6922683544804777,0.6018753628225133,0.4000117119065474
ridge,"{""alpha"": 1.78}",0.6967630992923517,0.59358546690836,0.3921952370644116
elastic_net,"{""alpha"": 0.178, ""l1_ratio"": 0.2}",0.7081864321219492,0.6150330548007666,0.3721021174876291
elastic_net,"{""alpha"": 0.133, ""l1_ratio"": 0.2}",0.7085567624857895,0.6125852974879729,0.37144525528625527
ridge,"{""alpha"": 1.0}",0.7086448458483092,0.6041309153939225,0.371288969552485
elastic_net,"{""alpha"": 0.1, ""l1_ratio"": 0.2}",0.7109277055540781,0.6111867923063541,0.3672317301897913
elastic_net,"{""alpha"": 0.0562, ""l1_ratio"": 0.2}",0.7175910721470398,0.6113177938715268,0.3553145508482697
ridge,"{""alpha"": 0.562}",0.717973411898609,0.6184739712686179,0.3546273780282153
elastic_net,"{""alpha"": 0.316, ""l1_ratio"": 0.2}",0.7209041637295857,0.6214774011415124,0.3493478305018197
elastic_net,"{""alpha"": 0.0316, ""l1_ratio"": 0.2}",0.7235492606475552,0.6234388622837627,0.3445644057469722
elastic_net,"{""alpha"": 0.0562, ""l1_ratio"": 0.5}",0.7237824510174674,0.623400253124265,0.3441418611978928
ridge,"{""alpha"": 0.316}",0.7243733399272045,0.6274836649301657,0.3430705517410797
elastic_net,"{""alpha"": 0.0316, ""l1_ratio"": 0.5}",0.7258468755155432,0.6210644631639147,0.3403951537391102
elastic_net,"{""alpha"": 0.0178, ""l1_ratio"": 0.2}",0.7277348868594714,0.6306027107457601,0.33695927459550445
ridge,"{""alpha"": 17.8}",0.7279044771419592,0.6260781158938605,0.3366502104898982
elastic_net,"{""alpha"": 0.1, ""l1_ratio"": 0.5}",0.7282009647529416,0.6355067102277954,0.33610971361149033
ridge,"{""alpha"": 0.178}",0.7284160470722324,0.6328877493993359,0.33571748081605546
elastic_net,"{""alpha"": 0.0178, ""l1_ratio"": 0.5}",0.7286474666113879,0.6293597250724233,0.3352953254422194
