model,params,cv_rmse,cv_mae,cv_r2
lasso,"{""alpha"": 0.133}",0.5703901137215959,0.441932380514247,0.5142479596202125
elastic_net,"{""alpha"": 0.178, ""l1_ratio"": 0.8}",0.5730309512570001,0.4541879193335649,0.5097396002466791
lasso,"{""alpha"": 0.178}",0.5751578557103475,0.4625957682343923,0.5060934719684853
elastic_net,"{""alpha"": 0.133, ""l1_ratio"": 0.8}",0.5836518951442123,0.4649826428888902,0.49139754218303155
lasso,"{""alpha"": 0.1}",0.5865453366751345,0.47365343495343437,0.48634227130211205
ridge,"{""alpha"": 5.62}",0.5893067703775402,0.4804522696926414,0.4814943230303951
elastic_net,"{""alpha"": 0.316, ""l1_ratio"": 0.8}",0.5949628555564296,0.47898081185668995,0.4714934667465265
elastic_net,"{""alpha"": 0.316, ""l1_ratio"": 0.5}",0.5971965806984558,0.4852529385637356,0.46751757338381816
ridge,"{""alpha"": 10.0}",0.6048456276684274,0.5062288849029735,0.45378987590403164
elastic_net,"{""alpha"": 0.178, ""l1_ratio"": 0.5}",0.6081069208831208,0.5035335526036342,0.4478837280790954
ridge,"{""alpha"": 3.16}",0.6089784483315832,0.5168540936948989,0.44630002862927365
lasso,"{""alpha"": 0.316}",0.6143612900342728,0.5163904019366021,0.4364683121479229
elastic_net,"{""alpha"": 0.1, ""l1_ratio"": 0.8}",0.6147405250723353,0.5126857259644326,0.43577237988566553
elastic_net,"{""alpha"": 0.316, ""l1_ratio"": 0.2}",0.6172204686026294,0.5050014274394639,0.4312108617724696
elastic_net,"{""alpha"": 0.133, ""l1_ratio"": 0.5}",0.6338558168265188,0.5387303081729192,0.40013763584265283
elastic_net,"{""alpha"": 0.562, ""l1_ratio"": 0.2}",0.6348234242897638,0.5326064694818928,0.3983048078984779
elastic_net,"{""alpha"": 0.178, ""l1_ratio"": 0.2}",0.6411613682832221,0.5472874680643769,0.3862304359506644
elastic_net,"{""alpha"": 0.562, ""l1_ratio"": 0.5}",0.6443946289949677,0.5591409777389784,0.38002457017303926
ridge,"{""alpha"": 1.78}",0.6475987025791209,0.5571107735953011,0.3738439307447158
ridge,"{""alpha"": 17.8}",0.6546451269239252,0.5874299924304744,0.36014357777795436
lasso,"{""alpha"": 0.0562}",0.6571446901717012,0.5586310177556146,0.3552480553986682
elastic_net,"{""alpha"": 0.1, ""l1_ratio"": 0.5}",0.6573164364728452,0.5637625964253206,0.3549109965026266
elastic_net,"{""alpha"": 0.133, ""l1_ratio"": 0.2}",0.6600775312858357,0.5645271143686731,0.34948014853653175
elastic_net,"{""alpha"": 0.0562, ""l1_ratio"": 0.8}",0.6755060088638569,0.5760549618199708,0.3187145912480984
elastic_net,"{""alpha"": 0.1, ""l1_ratio"": 0.2}",0.6789146057140436,0.5787749055348143,0.3118217250525269
ridge,"{""alpha"": 1.0}",0.6889908832541637,0.5922928099690845,0.29124260181687966
elastic_net,"{""alpha"": 0.0562, ""l1_ratio"": 0.5}",0.6975934854773261,0.5936856265328254,0.2734333040010596
elastic_net,"{""alpha"": 1.0, ""l1_ratio"": 0.2}",0.7002827740179951,0.6306568205520646,0.26782053995990374
lasso,"{""alpha"": 0.0316}",0.7105029887687212,0.6051315129637527,0.24629313184612944
elastic_net,"{""alpha"": 0.0562, ""l1_ratio"": 0.2}",0.7142810919178937,0.6024875483731649,0.23825614015516217
ridge,"{""alpha"": 31.6}",0.7190810042152271,0.6601243584099362,0.2279840251647729
elastic_net,"{""alpha"": 0.0316, ""l1_ratio"": 0.8}",0.7215819162611916,0.6115392886553043,0.22260465473412627
ridge,"{""alpha"": 0.562}",0.7240096178570761,0.617597184521534,0.2173648928120282
elastic_net,"{""alpha"": 0.0316, ""l1_ratio"": 0.5}",0.7342380020002799,0.6173587861511769,0.1950954699964923
elastic_net,"{""alpha"": 0.562, ""l1_ratio"": 0.8}",0.7354133769085904,0.6622348952847829,0.19251641029107125
elastic_net,"{""alpha"": 0.0316, ""l1_ratio"": 0.2}",0.7430102638282875,0.6232769378776991,0.17574748557545283
lasso,"{""alpha"": 0.0178}",0.7447559444652158,0.6261994026960682,0.17186982188911104
ridge,"{""alpha"": 0.316}",0.7499340953425376,0.6346729221259919,0.1603141155841704
elastic_net,"{""alpha"": 0.0178, ""l1_ratio"": 0.8}",0.7499410283084494,0.6276785910412191,0.16029859011184222
elastic_net,"{""alpha"": 0.0178, ""l1_ratio"": 0.5}",0.7561286533967253,0.6304086659403508,0.14638498375628772
elastic_net,"{""alpha"": 0.0178, ""l1_ratio"": 0.2}",0.7621223579570445,0.6376938777814879,0.13279842204814107
lasso,"{""alpha"": 0.01}",0.7635251777324866,0.6356978845276067,0.1296030109013756
elastic_net,"{""alpha"": 0.01, ""l1_ratio"": 0.8}",0.7666263346478074,0.6371191114207321,0.12251819071927605
ridge,"{""alpha"": 0.178}",0.7673992649504195,0.645558312600894,0.12074790406355385
elastic_net,"{""alpha"": 0.01, ""l1_ratio"": 0.5}",0.7699414161123175,0.6396870816341926,0.11491288680111056
ridge,"{""alpha"": 0.133}",0.773677619929646,0.6493641760229051,0.10630212966972374
elastic_net,"{""alpha"": 0.01, ""l1_ratio"": 0.2}",0.7750592862377766,0.6473343617047909,0.10310727233529482
lasso,"{""alpha"": 0.00562}",0.7755913555306302,0.6424850395287602,0.10187543655931008
elastic_net,"{""alpha"": 0.00562, ""l1_ratio"": 0.8}",0.777497745946249,0.6446888255837714,0.0974548604468285
ridge,"{""alpha"": 0.1}",0.7784920896672614,0.6522465715538526,0.09514484999017048
ridge,"{""alpha"": 56.2}",0.7787670068848824,0.7174053691602715,0.0945056548405333
elastic_net,"{""alpha"": 0.00562, ""l1_ratio"": 0.5}",0.7803748547017747,0.649106213276037,0.09076281514427065
elastic_net,"{""alpha"": 0.00562, ""l1_ratio"": 0.2}",0.7832434280555527,0.6534117851120754,0.08406601475372844
elastic_net,"{""alpha"": 1.78, ""l1_ratio"": 0.2}",0.7833347049700123,0.7136124203126127,0.08385252174123903
lasso,"{""alpha"": 0.00316}",0.7836985250003164,0.6503809458119797,0.083001314192788
elastic_net,"{""alpha"": 0.00316, ""l1_ratio"": 0.8}",0.7847739680522713,0.6520361827123643,0.0804828546461519
ridge,"{""alpha"": 0.0562}",0.7851824537459726,0.6562018533189543,0.07952536275860678
elastic_net,"{""alpha"": 0.00316, ""l1_ratio"": 0.5}",0.7863890521937639,0.6544935306324523,0.07669418222969615
elastic_net,"{""alpha"": 0.00316, ""l1_ratio"": 0.2}",0.7880138776357684,0.6569353568586631,0.07287479884445347
lasso,"{""alpha"": 0.00178}",0.7883029829112275,0.655256770542438,0.07219438962139757
elastic_net,"{""alpha"": 0.00178, ""l1_ratio"": 0.8}",0.7889096138309996,0.6561812012445556,0.07076587255288835
ridge,"{""alpha"": 0.0316}",0.7891022008151766,0.6584928166562677,0.07031213174776008
elastic_net,"{""alpha"": 0.00178, ""l1_ratio"": 0.5}",0.7898224135966073,0.6575616892708465,0.06861430694356219
elastic_net,"{""alpha"": 0.00178, ""l1_ratio"": 0.2}",0.7907365724573615,0.6589333014478203,0.06645704423621235
lasso,"{""alpha"": 0.001}",0.7909242087388849,0.6580154680190818,0.06601394518688886
elastic_net,"{""alpha"": 0.001, ""l1_ratio"": 0.8}",0.7912655813946268,0.6585325613699835,0.06520753136495305
ridge,"{""alpha"": 0.0178}",0.7913555238613346,0.6598011945421409,0.06499500520186374
elastic_net,"{""alpha"": 0.001, ""l1_ratio"": 0.5}",0.7917812614357607,0.659308486609125,0.06398869685227426
elastic_net,"{""alpha"": 0.001, ""l1_ratio"": 0.2}",0.792293159612113,0.6600717153296594,0.06277801559778029
ridge,"{""alpha"": 0.01}",0.7926471034315374,0.6605483422338414,0.06194045182264929
ridge,"{""alpha"": 0.00562}",0.7933781845867255,0.660970357228796,0.06020925537830446
ridge,"{""alpha"": 0.00316}",0.7937906464238088,0.6612081646776115,0.05923184363545009
ridge,"{""alpha"": 0.00178}",0.7940226155276541,0.6613418177127537,0.05868192273717099
ridge,"{""alpha"": 0.001}",0.7941539161879705,0.6614174401282941,0.058370581720755266
ols,{},0.7943224491846128,0.6615144760250949,0.05797087968992087
elastic_net,"{""alpha"": 1.0, ""l1_ratio"": 0.5}",0.8108265130312584,0.7355490607744556,0.018418110780443198
ridge,"{""alpha"": 100.0}",0.8240867934022769,0.7576387241787113,-0.013950055001032524
lasso,"{""alpha"": 0.562}",0.8349376239734333,0.7519897527546753,-0.04082740302047849
elastic_net,"{""alpha"": 3.16, ""l1_ratio"": 0.2}",0.8955947193197749,0.815536024980457,-0.19755013178167435
lasso,"{""alpha"": 1.0}",0.9002380350100374,0.8214250731613372,-0.2100000000000004
lasso,"{""alpha"": 1.78}",0.9002380350100374,0.8214250731613372,-0.2100000000000004
lasso,"{""alpha"": 3.16}",0.9002380350100374,0.8214250731613372,-0.2100000000000004
lasso,"{""alpha"": 5.62}",0.9002380350100374,0.8214250731613372,-0.2100000000000004
lasso,"{""alpha"": 10.0}",0.9002380350100374,0.8214250731613372,-0.2100000000000004
elastic_net,"{""alpha"": 1.0, ""l1_ratio"": 0.8}",0.9002380350100374,0.8214250731613372,-0.2100000000000004
elastic_net,"{""alpha"": 1.78, ""l1_ratio"": 0.5}",0.9002380350100374,0.8214250731613372,-0.2100000000000004
elastic_net,"{""alpha"": 1.78, ""l1_ratio"": 0.8}",0.9002380350100374,0.8214250731613372,-0.2100000000000004
elastic_net,"{""alpha"": 3.16, ""l1_ratio"": 0.5}",0.9002380350100374,0.8214250731613372,-0.2100000000000004
elastic_net,"{""alpha"": 3.16, ""l1_ratio"": 0.8}",0.9002380350100374,0.8214250731613372,-0.2100000000000004
elastic_net,"{""alpha"": 5.62, ""l1_ratio"": 0.2}",0.9002380350100374,0.8214250731613372,-0.2100000000000004
elastic_net,"{""alpha"": 5.62, ""l1_ratio"": 0.5}",0.9002380350100374,0.8214250731613372,-0.2100000000000004
elastic_net,"{""alpha"": 5.62, ""l1_ratio"": 0.8}",0.9002380350100374,0.8214250731613372,-0.2100000000000004
elastic_net,"{""alpha"": 10.0, ""l1_ratio"": 0.2}",0.9002380350100374,0.8214250731613372,-0.2100000000000004
elastic_net,"{""alpha"": 10.0, ""l1_ratio"": 0.5}",0.9002380350100374,0.8214250731613372,-0.2100000000000004
elastic_net,"{""alpha"": 10.0, ""l1_ratio"": 0.8}",0.9002380350100374,0.8214250731613372,-0.2100000000000004
