penalty,combo_size,feature_combo,n_features_filtered,cv_folds,low_max_fold,inner_scoring,c_by_fold,c_mean,c_median,inner_best_score_mean,inner_best_score_std,tn,fp,fn,tp,accuracy,balanced_accuracy,macro_f1,macro_precision,macro_recall,roc_auc,average_precision
l1,4,residue_min_distance_LYS101_angstrom_repstd|residue_min_distance_TYR318_angstrom_repstd|ligand_pose_rmsd_angstrom_mean|ligand_palm_distance_angstrom_repstd,13,5,10.0,balanced_accuracy,"[10.0, 1.0, 10.0, 1.0, 10.0]",6.4,10.0,0.8166666666666667,0.05046083923495819,9,0,1,9,0.9473684210526315,0.95,0.9473684210526315,0.95,0.95,1.0,0.9999999999999999
l1,5,residue_min_distance_LYS101_angstrom_repstd|residue_min_distance_TYR318_angstrom_repstd|ligand_pose_rmsd_angstrom_mean|ligand_palm_distance_angstrom_repstd|ligand_pose_rmsd_angstrom_repstd,13,5,10.0,balanced_accuracy,"[10.0, 10.0, 10.0, 1.0, 10.0]",8.2,10.0,0.8055555555555556,0.09820927516479828,9,0,1,9,0.9473684210526315,0.95,0.9473684210526315,0.95,0.95,1.0,0.9999999999999999
l2,4,residue_min_distance_LYS101_angstrom_repstd|ligand_pose_rmsd_angstrom_mean|residue_min_distance_PRO236_angstrom_mean|ligand_palm_distance_angstrom_repstd,13,5,10.0,balanced_accuracy,"[0.01, 0.1, 10.0, 0.01, 0.1]",2.0439999999999996,0.1,0.9277777777777777,0.06085806194501843,9,0,1,9,0.9473684210526315,0.95,0.9473684210526315,0.95,0.95,0.9888888888888888,0.9909090909090909
l1,5,residue_min_distance_PRO225_angstrom_repstd|residue_min_distance_LYS101_angstrom_repstd|ligand_pose_rmsd_angstrom_mean|ligand_palm_distance_angstrom_repstd|ligand_pose_rmsd_angstrom_repstd,13,5,10.0,balanced_accuracy,"[10.0, 1.0, 1.0, 10.0, 10.0]",6.4,10.0,0.7277777777777777,0.0719009950308044,9,0,1,9,0.9473684210526315,0.95,0.9473684210526315,0.95,0.95,0.9666666666666668,0.9769230769230769
l2,5,residue_min_distance_LYS101_angstrom_repstd|ligand_pose_rmsd_angstrom_mean|residue_min_distance_PRO236_angstrom_mean|ligand_palm_depth_projection_angstrom_mean|ligand_palm_distance_angstrom_repstd,13,5,10.0,balanced_accuracy,"[0.1, 0.01, 0.1, 1.0, 0.01]",0.244,0.1,0.8833333333333332,0.06334307917217429,9,0,1,9,0.9473684210526315,0.95,0.9473684210526315,0.95,0.95,0.9555555555555555,0.9714285714285714
l2,5,residue_min_distance_LYS101_angstrom_repstd|ligand_pose_rmsd_angstrom_mean|ligand_palm_distance_angstrom_repstd|ligand_entrance_distance_angstrom_mean|residue_min_distance_VAL108_angstrom_mean,13,5,10.0,balanced_accuracy,"[10.0, 0.01, 10.0, 10.0, 10.0]",8.001999999999999,10.0,0.9166666666666666,0.03928371006591927,9,0,1,9,0.9473684210526315,0.95,0.9473684210526315,0.95,0.95,0.9444444444444444,0.9666666666666667
l1,5,binding_dg_electrostatic_mean|residue_min_distance_PRO225_angstrom_repstd|residue_min_distance_LYS101_angstrom_repstd|ligand_pose_rmsd_angstrom_mean|residue_min_distance_PRO236_angstrom_mean,13,5,10.0,balanced_accuracy,"[1.0, 1.0, 10.0, 10.0, 10.0]",6.4,10.0,0.8333333333333333,0.09622504486493767,9,0,1,9,0.9473684210526315,0.95,0.9473684210526315,0.95,0.95,0.9222222222222223,0.9588235294117647
l2,5,residue_min_distance_LYS101_angstrom_repstd|ligand_pose_rmsd_angstrom_mean|residue_min_distance_PRO236_angstrom_mean|ligand_palm_distance_angstrom_repstd|ligand_entrance_distance_angstrom_mean,13,5,10.0,balanced_accuracy,"[0.1, 0.01, 0.01, 0.01, 0.01]",0.028000000000000004,0.01,0.8944444444444445,0.06334307917217434,9,0,1,9,0.9473684210526315,0.95,0.9473684210526315,0.95,0.95,0.9222222222222223,0.9588235294117647
l2,5,residue_min_distance_LYS101_angstrom_repstd|residue_min_distance_TYR318_angstrom_repstd|ligand_pose_rmsd_angstrom_mean|ligand_palm_distance_angstrom_repstd|ligand_entrance_distance_angstrom_mean,13,5,10.0,balanced_accuracy,"[10.0, 10.0, 1.0, 1.0, 10.0]",6.4,10.0,0.7777777777777777,0.10577462647033202,8,1,0,10,0.9473684210526315,0.9444444444444444,0.9467787114845938,0.9545454545454546,0.9444444444444444,0.9555555555555555,0.9572979797979797
l2,4,binding_dg_electrostatic_mean|residue_min_distance_LYS101_angstrom_repstd|residue_min_distance_PRO236_angstrom_mean|ligand_palm_distance_angstrom_repstd,13,5,10.0,balanced_accuracy,"[0.01, 0.01, 10.0, 1.0, 0.01]",2.206,0.01,0.8055555555555556,0.08784104611578827,9,0,2,8,0.8947368421052632,0.9,0.8944444444444444,0.9090909090909092,0.9,1.0,0.9999999999999999
