penalty,combo_size,feature_combo,n_features_filtered,cv_folds,low_max_fold,inner_scoring,c_by_fold,c_mean,c_median,inner_best_score_mean,inner_best_score_std,tn,fp,fn,tp,accuracy,balanced_accuracy,macro_f1,macro_precision,macro_recall,roc_auc,average_precision
l1,2,binding_dg_electrostatic_mean|residue_min_distance_LYS101_angstrom_repstd,13,5,10.0,balanced_accuracy,"[10.0, 10.0, 10.0, 1.0, 1.0]",6.4,10.0,0.7833333333333334,0.049690399499995354,8,1,2,8,0.8421052631578947,0.8444444444444444,0.8421052631578947,0.8444444444444444,0.8444444444444444,0.8222222222222223,0.8809267040149392
l1,2,residue_min_distance_LYS101_angstrom_repstd|ligand_entrance_distance_angstrom_mean,13,5,10.0,balanced_accuracy,"[1.0, 1.0, 1.0, 10.0, 1.0]",2.8,1.0,0.711111111111111,0.03167153958608719,7,2,2,8,0.7894736842105263,0.788888888888889,0.788888888888889,0.788888888888889,0.788888888888889,0.8111111111111111,0.8441991341991342
l1,2,residue_min_distance_PRO236_angstrom_mean|ligand_palm_distance_angstrom_repstd,13,5,10.0,balanced_accuracy,"[10.0, 1.0, 1.0, 1.0, 1.0]",2.8,1.0,0.7722222222222223,0.10829771494232183,7,2,2,8,0.7894736842105263,0.788888888888889,0.788888888888889,0.788888888888889,0.788888888888889,0.7000000000000001,0.7343697478991597
l1,2,residue_min_distance_LYS101_angstrom_repstd|ligand_pose_rmsd_angstrom_mean,13,5,10.0,balanced_accuracy,"[1.0, 1.0, 10.0, 10.0, 1.0]",4.6,1.0,0.8666666666666666,0.10281530846289859,7,2,3,7,0.7368421052631579,0.7388888888888889,0.7368421052631579,0.7388888888888889,0.7388888888888889,0.8333333333333334,0.8797650878533231
l1,2,residue_min_distance_LYS101_angstrom_repstd|residue_min_distance_VAL106_angstrom_mean,13,5,10.0,balanced_accuracy,"[1.0, 10.0, 1.0, 1.0, 1.0]",2.8,1.0,0.7222222222222221,0.07081971546656643,7,2,3,7,0.7368421052631579,0.7388888888888889,0.7368421052631579,0.7388888888888889,0.7388888888888889,0.8111111111111111,0.8448480604362957
l1,2,residue_min_distance_LYS101_angstrom_repstd|residue_min_distance_VAL179_angstrom_repstd,13,5,10.0,balanced_accuracy,"[1.0, 1.0, 10.0, 1.0, 1.0]",2.8,1.0,0.7277777777777776,0.12638125740085918,7,2,3,7,0.7368421052631579,0.7388888888888889,0.7368421052631579,0.7388888888888889,0.7388888888888889,0.7777777777777779,0.8364699627857521
l1,2,residue_min_distance_LYS101_angstrom_repstd|ligand_palm_distance_angstrom_repstd,13,5,10.0,balanced_accuracy,"[10.0, 1.0, 1.0, 1.0, 1.0]",2.8,1.0,0.8055555555555556,0.06211299937499416,6,3,2,8,0.7368421052631579,0.7333333333333334,0.7338935574229692,0.7386363636363636,0.7333333333333334,0.8222222222222222,0.7998809523809524
l1,2,residue_min_distance_LYS101_angstrom_repstd|residue_min_distance_VAL108_angstrom_mean,13,5,10.0,balanced_accuracy,"[1.0, 10.0, 1.0, 1.0, 1.0]",2.8,1.0,0.7333333333333333,0.16029486718059455,6,3,2,8,0.7368421052631579,0.7333333333333334,0.7338935574229692,0.7386363636363636,0.7333333333333334,0.7666666666666667,0.8245652008809903
l1,2,residue_min_distance_TYR318_angstrom_repstd|ligand_palm_distance_angstrom_repstd,13,5,10.0,balanced_accuracy,"[1.0, 1.0, 10.0, 1.0, 1.0]",2.8,1.0,0.7333333333333333,0.09742043287083434,6,3,2,8,0.7368421052631579,0.7333333333333334,0.7338935574229692,0.7386363636363636,0.7333333333333334,0.7444444444444445,0.7183730158730158
l1,2,binding_dg_electrostatic_mean|residue_min_distance_VAL108_angstrom_mean,13,5,10.0,balanced_accuracy,"[1.0, 10.0, 10.0, 10.0, 1.0]",6.4,10.0,0.7055555555555555,0.05760122598146589,6,3,2,8,0.7368421052631579,0.7333333333333334,0.7338935574229692,0.7386363636363636,0.7333333333333334,0.7333333333333334,0.8453588516746411
l1,3,residue_min_distance_LYS101_angstrom_repstd|ligand_pose_rmsd_angstrom_mean|residue_min_distance_VAL106_angstrom_mean,13,5,10.0,balanced_accuracy,"[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,1.0,0.8166666666666667,0.07243558228002943,9,0,3,7,0.8421052631578947,0.85,0.8403361344537814,0.875,0.85,0.9222222222222223,0.9387412587412587
l1,3,residue_min_distance_LYS101_angstrom_repstd|ligand_pose_rmsd_angstrom_mean|ligand_palm_distance_angstrom_repstd,13,5,10.0,balanced_accuracy,"[10.0, 10.0, 10.0, 1.0, 1.0]",6.4,10.0,0.8111111111111111,0.0842541716005728,8,1,2,8,0.8421052631578947,0.8444444444444444,0.8421052631578947,0.8444444444444444,0.8444444444444444,0.9444444444444444,0.9430122655122654
l1,3,residue_min_distance_LYS101_angstrom_repstd|residue_min_distance_VAL179_angstrom_repstd|ligand_palm_depth_projection_angstrom_mean,13,5,10.0,balanced_accuracy,"[10.0, 10.0, 1.0, 10.0, 1.0]",6.4,10.0,0.7722222222222223,0.06916610887771517,8,1,2,8,0.8421052631578947,0.8444444444444444,0.8421052631578947,0.8444444444444444,0.8444444444444444,0.8222222222222222,0.8839655227813122
l1,3,binding_dg_electrostatic_mean|residue_min_distance_LYS101_angstrom_repstd|ligand_pose_rmsd_angstrom_repstd,13,5,10.0,balanced_accuracy,"[1.0, 10.0, 1.0, 1.0, 1.0]",2.8,1.0,0.8055555555555556,0.07349309197401646,8,1,2,8,0.8421052631578947,0.8444444444444444,0.8421052631578947,0.8444444444444444,0.8444444444444444,0.8,0.8848856209150325
l1,3,residue_min_distance_LYS101_angstrom_repstd|ligand_pose_rmsd_angstrom_mean|residue_min_distance_VAL179_angstrom_repstd,13,5,10.0,balanced_accuracy,"[1.0, 1.0, 1.0, 10.0, 1.0]",2.8,1.0,0.7888888888888889,0.1281997862134925,9,0,4,6,0.7894736842105263,0.8,0.7840909090909092,0.8461538461538461,0.8,0.7777777777777778,0.8578008021390374
l1,3,residue_min_distance_LYS101_angstrom_repstd|ligand_pose_rmsd_angstrom_mean|ligand_entrance_distance_angstrom_mean,13,5,10.0,balanced_accuracy,"[1.0, 10.0, 10.0, 1.0, 10.0]",6.4,10.0,0.8222222222222222,0.08471083712209389,8,1,3,7,0.7894736842105263,0.7944444444444444,0.788888888888889,0.8011363636363636,0.7944444444444444,0.8777777777777778,0.9016991341991342
l1,3,residue_min_distance_LYS101_angstrom_repstd|ligand_pose_rmsd_angstrom_mean|ligand_pose_rmsd_angstrom_repstd,13,5,10.0,balanced_accuracy,"[1.0, 1.0, 10.0, 1.0, 1.0]",2.8,1.0,0.7888888888888889,0.14245423783286756,8,1,3,7,0.7894736842105263,0.7944444444444444,0.788888888888889,0.8011363636363636,0.7944444444444444,0.8777777777777778,0.8978646353646352
l1,3,residue_min_distance_LYS101_angstrom_repstd|ligand_pose_rmsd_angstrom_mean|ligand_palm_depth_projection_angstrom_mean,13,5,10.0,balanced_accuracy,"[1.0, 10.0, 10.0, 10.0, 10.0]",8.2,10.0,0.7777777777777777,0.06211299937499418,8,1,3,7,0.7894736842105263,0.7944444444444444,0.788888888888889,0.8011363636363636,0.7944444444444444,0.8666666666666667,0.8938736263736263
l1,3,residue_min_distance_LYS101_angstrom_repstd|residue_min_distance_TYR318_angstrom_repstd|ligand_pose_rmsd_angstrom_mean,13,5,10.0,balanced_accuracy,"[10.0, 1.0, 1.0, 10.0, 1.0]",4.6,1.0,0.8055555555555554,0.06514466333088097,8,1,3,7,0.7894736842105263,0.7944444444444444,0.788888888888889,0.8011363636363636,0.7944444444444444,0.8555555555555555,0.9013235294117646
l1,3,binding_dg_electrostatic_mean|residue_min_distance_LYS101_angstrom_repstd|residue_min_distance_VAL108_angstrom_mean,13,5,10.0,balanced_accuracy,"[10.0, 1.0, 1.0, 1.0, 1.0]",2.8,1.0,0.8277777777777777,0.049690399499995354,8,1,3,7,0.7894736842105263,0.7944444444444444,0.788888888888889,0.8011363636363636,0.7944444444444444,0.7777777777777779,0.8676759300211312
l1,4,residue_min_distance_LYS101_angstrom_repstd|residue_min_distance_TYR318_angstrom_repstd|ligand_pose_rmsd_angstrom_mean|residue_min_distance_VAL106_angstrom_mean,13,5,10.0,balanced_accuracy,"[1.0, 10.0, 1.0, 1.0, 1.0]",2.8,1.0,0.7722222222222221,0.11520245196293177,9,0,3,7,0.8421052631578947,0.85,0.8403361344537814,0.875,0.85,0.9222222222222223,0.9387412587412587
l1,4,residue_min_distance_LYS101_angstrom_repstd|ligand_pose_rmsd_angstrom_mean|ligand_pose_rmsd_angstrom_repstd|ligand_entrance_distance_angstrom_mean,13,5,10.0,balanced_accuracy,"[1.0, 10.0, 1.0, 1.0, 1.0]",2.8,1.0,0.7722222222222221,0.07708020514173117,9,0,3,7,0.8421052631578947,0.85,0.8403361344537814,0.875,0.85,0.9111111111111112,0.9319230769230769
l1,4,binding_dg_electrostatic_mean|residue_min_distance_LYS101_angstrom_repstd|ligand_pose_rmsd_angstrom_mean|ligand_pose_rmsd_angstrom_repstd,13,5,10.0,balanced_accuracy,"[1.0, 1.0, 10.0, 10.0, 1.0]",4.6,1.0,0.8055555555555556,0.06211299937499416,8,1,2,8,0.8421052631578947,0.8444444444444444,0.8421052631578947,0.8444444444444444,0.8444444444444444,0.8444444444444446,0.8926587301587301
l1,4,binding_dg_electrostatic_mean|residue_min_distance_PRO225_angstrom_repstd|residue_min_distance_LYS101_angstrom_repstd|ligand_pose_rmsd_angstrom_mean,13,5,10.0,balanced_accuracy,"[1.0, 1.0, 10.0, 10.0, 10.0]",6.4,10.0,0.7666666666666666,0.09337631285539784,8,1,2,8,0.8421052631578947,0.8444444444444444,0.8421052631578947,0.8444444444444444,0.8444444444444444,0.8444444444444444,0.9011752136752136
l1,4,residue_min_distance_LYS101_angstrom_repstd|residue_min_distance_PRO236_angstrom_mean|ligand_palm_distance_angstrom_repstd|ligand_pose_rmsd_angstrom_repstd,13,5,10.0,balanced_accuracy,"[1.0, 10.0, 10.0, 1.0, 10.0]",6.4,10.0,0.7444444444444445,0.11006451531199417,8,1,2,8,0.8421052631578947,0.8444444444444444,0.8421052631578947,0.8444444444444444,0.8444444444444444,0.8444444444444444,0.8901574732457085
