penalty,combo_size,feature_combo,feature,coefficient,abs_coefficient,direction,fullfit_best_c,intercept,fullfit_best_threshold,fullfit_inner_fn,fullfit_inner_fp,fullfit_inner_balanced_accuracy
l1,2,binding_dg_electrostatic_mean|ligand_entrance_distance_angstrom_mean,binding_dg_electrostatic_mean,0.5198487066024176,0.5198487066024176,toward_high,1.0,-0.0,0.1519352706360687,0,8,0.5555555555555556
l1,2,binding_dg_electrostatic_mean|ligand_entrance_distance_angstrom_mean,ligand_entrance_distance_angstrom_mean,-0.0,0.0,toward_high,1.0,-0.0,0.1519352706360687,0,8,0.5555555555555556
l1,2,binding_dg_electrostatic_mean|ligand_palm_depth_projection_angstrom_mean,binding_dg_electrostatic_mean,-0.0,0.0,toward_high,0.01,-0.0,0.5,0,9,0.5
l1,2,binding_dg_electrostatic_mean|ligand_palm_depth_projection_angstrom_mean,ligand_palm_depth_projection_angstrom_mean,-0.0,0.0,toward_high,0.01,-0.0,0.5,0,9,0.5
l1,2,binding_dg_electrostatic_mean|ligand_palm_distance_angstrom_repstd,ligand_palm_distance_angstrom_repstd,-0.9729007843652827,0.9729007843652827,toward_low,1.0,-0.0,0.3879575216791996,0,4,0.7777777777777778
l1,2,binding_dg_electrostatic_mean|ligand_palm_distance_angstrom_repstd,binding_dg_electrostatic_mean,0.49886950277080694,0.49886950277080694,toward_high,1.0,-0.0,0.3879575216791996,0,4,0.7777777777777778
l1,2,binding_dg_electrostatic_mean|ligand_pose_rmsd_angstrom_mean,binding_dg_electrostatic_mean,0.5760903146168795,0.5760903146168795,toward_high,10.0,-0.0,0.20008088451791395,0,8,0.5555555555555556
l1,2,binding_dg_electrostatic_mean|ligand_pose_rmsd_angstrom_mean,ligand_pose_rmsd_angstrom_mean,0.49388266540450054,0.49388266540450054,toward_high,10.0,-0.0,0.20008088451791395,0,8,0.5555555555555556
l1,2,binding_dg_electrostatic_mean|ligand_pose_rmsd_angstrom_repstd,binding_dg_electrostatic_mean,-0.0,0.0,toward_high,0.01,-0.0,0.5,0,9,0.5
l1,2,binding_dg_electrostatic_mean|ligand_pose_rmsd_angstrom_repstd,ligand_pose_rmsd_angstrom_repstd,-0.0,0.0,toward_high,0.01,-0.0,0.5,0,9,0.5
l1,2,binding_dg_electrostatic_mean|residue_min_distance_LYS101_angstrom_repstd,binding_dg_electrostatic_mean,-0.0,0.0,toward_high,0.01,-0.0,0.5,0,9,0.5
l1,2,binding_dg_electrostatic_mean|residue_min_distance_LYS101_angstrom_repstd,residue_min_distance_LYS101_angstrom_repstd,-0.0,0.0,toward_high,0.01,-0.0,0.5,0,9,0.5
l1,2,binding_dg_electrostatic_mean|residue_min_distance_PRO225_angstrom_repstd,binding_dg_electrostatic_mean,-0.0,0.0,toward_high,0.01,-0.0,0.5,0,9,0.5
l1,2,binding_dg_electrostatic_mean|residue_min_distance_PRO225_angstrom_repstd,residue_min_distance_PRO225_angstrom_repstd,-0.0,0.0,toward_high,0.01,-0.0,0.5,0,9,0.5
l1,2,binding_dg_electrostatic_mean|residue_min_distance_PRO236_angstrom_mean,residue_min_distance_PRO236_angstrom_mean,0.7138918990096486,0.7138918990096486,toward_high,1.0,-0.0,0.2540145266202596,0,8,0.5555555555555556
