penalty,combo_size,feature_combo,n_features_filtered,cv_folds,low_max_fold,threshold_objective,c_by_fold,threshold_by_fold,c_mean,c_median,threshold_mean,threshold_median,threshold_min,threshold_max,inner_fn_mean,inner_fp_mean,inner_balanced_accuracy_mean,tn,fp,fn,tp,accuracy,balanced_accuracy,macro_f1,macro_precision,macro_recall,roc_auc,average_precision
l1,5,residue_min_distance_PRO225_angstrom_repstd|residue_min_distance_LYS101_angstrom_repstd|ligand_pose_rmsd_angstrom_mean|residue_min_distance_VAL106_angstrom_mean|ligand_palm_distance_angstrom_repstd,13,5,10.0,min_fn_then_max_balanced_accuracy,"[1.0, 1.0, 1.0, 1.0, 10.0]","[0.2663289778617891, 0.34569657083248373, 0.33094150575275594, 0.37455707254363013, 0.1797806581575151]",2.8,1.0,0.2994609570296348,0.33094150575275594,0.1797806581575151,0.37455707254363013,0.0,2.6,0.8214285714285714,9,0,0,10,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
l1,5,residue_min_distance_LYS101_angstrom_repstd|residue_min_distance_TYR318_angstrom_repstd|ligand_pose_rmsd_angstrom_mean|residue_min_distance_VAL106_angstrom_mean|ligand_palm_distance_angstrom_repstd,13,5,10.0,min_fn_then_max_balanced_accuracy,"[1.0, 10.0, 10.0, 1.0, 1.0]","[0.35871930981814326, 0.7590320802595902, 0.001907625492230558, 0.39022746651079, 0.3628678868198697]",4.6,1.0,0.3745508737801247,0.3628678868198697,0.001907625492230558,0.7590320802595902,0.0,2.4,0.8339285714285716,8,1,0,10,0.9473684210526315,0.9444444444444444,0.9467787114845938,0.9545454545454546,0.9444444444444444,1.0,0.9999999999999999
l1,4,residue_min_distance_LYS101_angstrom_repstd|ligand_pose_rmsd_angstrom_mean|ligand_palm_depth_projection_angstrom_mean|ligand_palm_distance_angstrom_repstd,13,5,10.0,min_fn_then_max_balanced_accuracy,"[1.0, 10.0, 10.0, 10.0, 10.0]","[0.41947325166504634, 0.17239542715788758, 0.5341513554234106, 0.0649536931432021, 0.4890689809059232]",8.2,10.0,0.33600854165909394,0.41947325166504634,0.0649536931432021,0.5341513554234106,0.0,1.6,0.8857142857142858,8,1,0,10,0.9473684210526315,0.9444444444444444,0.9467787114845938,0.9545454545454546,0.9444444444444444,0.9777777777777777,0.9809090909090908
l1,4,residue_min_distance_PRO225_angstrom_repstd|residue_min_distance_LYS101_angstrom_repstd|ligand_pose_rmsd_angstrom_mean|ligand_palm_distance_angstrom_repstd,13,5,10.0,min_fn_then_max_balanced_accuracy,"[1.0, 10.0, 10.0, 10.0, 1.0]","[0.3606002830235603, 0.4331148520552298, 0.015026512993604024, 0.041751937493485936, 0.369310086471751]",6.4,10.0,0.24396073440752622,0.3606002830235603,0.015026512993604024,0.4331148520552298,0.0,3.0,0.7964285714285715,8,1,0,10,0.9473684210526315,0.9444444444444444,0.9467787114845938,0.9545454545454546,0.9444444444444444,0.9666666666666668,0.9769230769230769
l1,4,residue_min_distance_LYS101_angstrom_repstd|ligand_pose_rmsd_angstrom_mean|residue_min_distance_PRO236_angstrom_mean|ligand_palm_distance_angstrom_repstd,13,5,10.0,min_fn_then_max_balanced_accuracy,"[1.0, 1.0, 10.0, 1.0, 1.0]","[0.19499604068730259, 0.29015250175898155, 0.42292525559486893, 0.35084552917177914, 0.3716511243051348]",2.8,1.0,0.3261140903036134,0.35084552917177914,0.19499604068730259,0.42292525559486893,0.0,2.6,0.8178571428571428,8,1,0,10,0.9473684210526315,0.9444444444444444,0.9467787114845938,0.9545454545454546,0.9444444444444444,0.9666666666666668,0.9769230769230769
l2,5,residue_min_distance_LYS101_angstrom_repstd|ligand_pose_rmsd_angstrom_mean|ligand_palm_depth_projection_angstrom_mean|ligand_palm_distance_angstrom_repstd|ligand_entrance_distance_angstrom_mean,13,5,10.0,min_fn_then_max_balanced_accuracy,"[1.0, 1.0, 10.0, 10.0, 1.0]","[0.29922466765849587, 0.47100132539224715, 0.6773855076691015, 0.39116422593324063, 0.34099760045596983]",4.6,1.0,0.435954665421811,0.39116422593324063,0.29922466765849587,0.6773855076691015,0.0,2.0,0.8625,8,1,0,10,0.9473684210526315,0.9444444444444444,0.9467787114845938,0.9545454545454546,0.9444444444444444,0.9666666666666666,0.9697979797979798
l2,5,residue_min_distance_PRO225_angstrom_repstd|residue_min_distance_LYS101_angstrom_repstd|ligand_pose_rmsd_angstrom_mean|residue_min_distance_PRO236_angstrom_mean|ligand_entrance_distance_angstrom_mean,13,5,10.0,min_fn_then_max_balanced_accuracy,"[10.0, 1.0, 10.0, 0.1, 1.0]","[0.25649765478215036, 0.38141666448540346, 0.48926575070796896, 0.46208031279830497, 0.33477610580421124]",4.42,1.0,0.3848072977156078,0.38141666448540346,0.25649765478215036,0.48926575070796896,0.0,3.0,0.7964285714285715,8,1,0,10,0.9473684210526315,0.9444444444444444,0.9467787114845938,0.9545454545454546,0.9444444444444444,0.9111111111111111,0.8813455988455987
l2,5,binding_dg_electrostatic_mean|residue_min_distance_LYS101_angstrom_repstd|residue_min_distance_PRO236_angstrom_mean|residue_min_distance_VAL106_angstrom_mean|ligand_palm_distance_angstrom_repstd,13,5,10.0,min_fn_then_max_balanced_accuracy,"[0.1, 0.1, 0.01, 0.01, 1.0]","[0.40097277535718157, 0.4608809677340068, 0.4965618784697944, 0.4972467485104224, 0.3041049686305115]",0.244,0.1,0.43195346774038335,0.4608809677340068,0.3041049686305115,0.4972467485104224,0.0,2.0,0.8625,8,1,0,10,0.9473684210526315,0.9444444444444444,0.9467787114845938,0.9545454545454546,0.9444444444444444,0.888888888888889,0.9317307692307691
l1,4,residue_min_distance_LYS101_angstrom_repstd|ligand_pose_rmsd_angstrom_mean|ligand_palm_distance_angstrom_repstd|ligand_entrance_distance_angstrom_mean,13,5,10.0,min_fn_then_max_balanced_accuracy,"[1.0, 1.0, 10.0, 1.0, 10.0]","[0.2848006668972365, 0.3936694875612453, 0.02574045626941812, 0.37822062256248234, 0.37133984758423677]",4.6,1.0,0.2907542161749238,0.37133984758423677,0.02574045626941812,0.3936694875612453,0.0,2.4,0.8303571428571429,7,2,0,10,0.8947368421052632,0.8888888888888888,0.8920454545454546,0.9166666666666667,0.8888888888888888,0.9777777777777777,0.9809090909090908
l1,5,residue_min_distance_LYS101_angstrom_repstd|residue_min_distance_TYR318_angstrom_repstd|ligand_pose_rmsd_angstrom_mean|ligand_palm_distance_angstrom_repstd|ligand_entrance_distance_angstrom_mean,13,5,10.0,min_fn_then_max_balanced_accuracy,"[1.0, 1.0, 10.0, 1.0, 10.0]","[0.4168362900132817, 0.28787464536029284, 0.21173092861863196, 0.22796498390509234, 0.15532900659477322]",4.6,1.0,0.2599471708984144,0.22796498390509234,0.15532900659477322,0.4168362900132817,0.0,2.6,0.8178571428571428,7,2,0,10,0.8947368421052632,0.8888888888888888,0.8920454545454546,0.9166666666666667,0.8888888888888888,0.9777777777777777,0.9809090909090908
