task_id,leg_id,phase,replicate,stage,lambda_state,direction,snapshot_index,snapshot_index_end,snapshot_time_ps,switch_ps,run_dir
0,wt_to_G190E,apo,2,em,,,,,,,em
1,wt_to_G190E,apo,2,equil,0,,,,,,eq_lambda0
2,wt_to_G190E,apo,2,extract,0,,,,,,snapshots/lambda0
3,wt_to_G190E,apo,2,equil,1,,,,,,eq_lambda1
4,wt_to_G190E,apo,2,extract,1,,,,,,snapshots/lambda1
5,wt_to_G190E,apo,2,switch,0,fwd,0,14,100.000,500.0,switches/fwd_bundle000
6,wt_to_G190E,apo,2,switch,0,fwd,15,29,842.424,500.0,switches/fwd_bundle015
7,wt_to_G190E,apo,2,switch,0,fwd,30,44,1584.848,500.0,switches/fwd_bundle030
8,wt_to_G190E,apo,2,switch,0,fwd,45,59,2327.273,500.0,switches/fwd_bundle045
9,wt_to_G190E,apo,2,switch,0,fwd,60,74,3069.697,500.0,switches/fwd_bundle060
10,wt_to_G190E,apo,2,switch,0,fwd,75,89,3812.121,500.0,switches/fwd_bundle075
11,wt_to_G190E,apo,2,switch,0,fwd,90,99,4554.545,500.0,switches/fwd_bundle090
12,wt_to_G190E,apo,2,switch,1,rev,0,14,100.000,500.0,switches/rev_bundle000
13,wt_to_G190E,apo,2,switch,1,rev,15,29,842.424,500.0,switches/rev_bundle015
14,wt_to_G190E,apo,2,switch,1,rev,30,44,1584.848,500.0,switches/rev_bundle030
15,wt_to_G190E,apo,2,switch,1,rev,45,59,2327.273,500.0,switches/rev_bundle045
16,wt_to_G190E,apo,2,switch,1,rev,60,74,3069.697,500.0,switches/rev_bundle060
17,wt_to_G190E,apo,2,switch,1,rev,75,89,3812.121,500.0,switches/rev_bundle075
18,wt_to_G190E,apo,2,switch,1,rev,90,99,4554.545,500.0,switches/rev_bundle090
