panel_task_id,task_id,leg_id,phase,replicate,stage,lambda_state,direction,snapshot_index,snapshot_index_end,snapshot_time_ps,switch_ps,run_dir
0,0,wt_to_K103N,holo,1,em,,,,,,,em
1,1,wt_to_K103N,holo,1,equil,0,,,,,,eq_lambda0
2,2,wt_to_K103N,holo,1,extract,0,,,,,,snapshots/lambda0
3,3,wt_to_K103N,holo,1,equil,1,,,,,,eq_lambda1
4,4,wt_to_K103N,holo,1,extract,1,,,,,,snapshots/lambda1
5,5,wt_to_K103N,holo,1,switch,0,fwd,0,49,100.000,500.0,switches/fwd_bundle000
6,6,wt_to_K103N,holo,1,switch,0,fwd,50,99,2574.747,500.0,switches/fwd_bundle050
7,7,wt_to_K103N,holo,1,switch,1,rev,0,49,100.000,500.0,switches/rev_bundle000
8,8,wt_to_K103N,holo,1,switch,1,rev,50,99,2574.747,500.0,switches/rev_bundle050
9,0,wt_to_K103N,holo,2,em,,,,,,,em
10,1,wt_to_K103N,holo,2,equil,0,,,,,,eq_lambda0
11,2,wt_to_K103N,holo,2,extract,0,,,,,,snapshots/lambda0
12,3,wt_to_K103N,holo,2,equil,1,,,,,,eq_lambda1
13,4,wt_to_K103N,holo,2,extract,1,,,,,,snapshots/lambda1
14,5,wt_to_K103N,holo,2,switch,0,fwd,0,49,100.000,500.0,switches/fwd_bundle000
15,6,wt_to_K103N,holo,2,switch,0,fwd,50,99,2574.747,500.0,switches/fwd_bundle050
16,7,wt_to_K103N,holo,2,switch,1,rev,0,49,100.000,500.0,switches/rev_bundle000
17,8,wt_to_K103N,holo,2,switch,1,rev,50,99,2574.747,500.0,switches/rev_bundle050
18,0,wt_to_K103N,holo,3,em,,,,,,,em
19,1,wt_to_K103N,holo,3,equil,0,,,,,,eq_lambda0
20,2,wt_to_K103N,holo,3,extract,0,,,,,,snapshots/lambda0
21,3,wt_to_K103N,holo,3,equil,1,,,,,,eq_lambda1
22,4,wt_to_K103N,holo,3,extract,1,,,,,,snapshots/lambda1
23,5,wt_to_K103N,holo,3,switch,0,fwd,0,49,100.000,500.0,switches/fwd_bundle000
24,6,wt_to_K103N,holo,3,switch,0,fwd,50,99,2574.747,500.0,switches/fwd_bundle050
25,7,wt_to_K103N,holo,3,switch,1,rev,0,49,100.000,500.0,switches/rev_bundle000
26,8,wt_to_K103N,holo,3,switch,1,rev,50,99,2574.747,500.0,switches/rev_bundle050
27,0,wt_to_K103N,apo,1,em,,,,,,,em
28,1,wt_to_K103N,apo,1,equil,0,,,,,,eq_lambda0
29,2,wt_to_K103N,apo,1,extract,0,,,,,,snapshots/lambda0
30,3,wt_to_K103N,apo,1,equil,1,,,,,,eq_lambda1
31,4,wt_to_K103N,apo,1,extract,1,,,,,,snapshots/lambda1
32,5,wt_to_K103N,apo,1,switch,0,fwd,0,49,100.000,500.0,switches/fwd_bundle000
33,6,wt_to_K103N,apo,1,switch,0,fwd,50,99,2574.747,500.0,switches/fwd_bundle050
34,7,wt_to_K103N,apo,1,switch,1,rev,0,49,100.000,500.0,switches/rev_bundle000
35,8,wt_to_K103N,apo,1,switch,1,rev,50,99,2574.747,500.0,switches/rev_bundle050
36,0,wt_to_K103N,apo,2,em,,,,,,,em
37,1,wt_to_K103N,apo,2,equil,0,,,,,,eq_lambda0
38,2,wt_to_K103N,apo,2,extract,0,,,,,,snapshots/lambda0
39,3,wt_to_K103N,apo,2,equil,1,,,,,,eq_lambda1
40,4,wt_to_K103N,apo,2,extract,1,,,,,,snapshots/lambda1
41,5,wt_to_K103N,apo,2,switch,0,fwd,0,49,100.000,500.0,switches/fwd_bundle000
42,6,wt_to_K103N,apo,2,switch,0,fwd,50,99,2574.747,500.0,switches/fwd_bundle050
43,7,wt_to_K103N,apo,2,switch,1,rev,0,49,100.000,500.0,switches/rev_bundle000
44,8,wt_to_K103N,apo,2,switch,1,rev,50,99,2574.747,500.0,switches/rev_bundle050
45,0,wt_to_K103N,apo,3,em,,,,,,,em
46,1,wt_to_K103N,apo,3,equil,0,,,,,,eq_lambda0
47,2,wt_to_K103N,apo,3,extract,0,,,,,,snapshots/lambda0
48,3,wt_to_K103N,apo,3,equil,1,,,,,,eq_lambda1
49,4,wt_to_K103N,apo,3,extract,1,,,,,,snapshots/lambda1
50,5,wt_to_K103N,apo,3,switch,0,fwd,0,49,100.000,500.0,switches/fwd_bundle000
51,6,wt_to_K103N,apo,3,switch,0,fwd,50,99,2574.747,500.0,switches/fwd_bundle050
52,7,wt_to_K103N,apo,3,switch,1,rev,0,49,100.000,500.0,switches/rev_bundle000
53,8,wt_to_K103N,apo,3,switch,1,rev,50,99,2574.747,500.0,switches/rev_bundle050
