#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
2000,-2659508.4982518163,299.3648372553183,2018.7976181343872,1.0011769246843394,0
4000,-2661202.328602826,299.70744938288385,2006.8990078755191,1.0071127560242543,62.9
6000,-2665499.954773443,300.9462946861541,1998.6417772202512,1.0112735628367289,62.7
8000,-2665703.1614606623,301.49528303145865,1991.3033708362234,1.015000336204467,62.9
10000,-2668917.1461522,299.5322142246872,1990.6613301239238,1.0153277005476526,62.8
12000,-2665995.3038673922,300.61674322024425,1993.4081503159525,1.013928627994975,62.8
14000,-2670116.7606749237,300.4095091138722,1991.5833500720141,1.0148576462093697,62.8
16000,-2668400.078285249,300.0108213197699,1993.809181802483,1.0137246880650002,62.6
18000,-2672720.992703963,300.0111030054274,1991.8161880839345,1.014739012051188,62.3
20000,-2668051.9966182206,300.6938299664458,1988.8452617557587,1.016254823715927,62
22000,-2670291.816160571,300.43046078934174,1993.6912678678655,1.0137846433191136,61.8
24000,-2671922.1095662825,301.3872231194563,1992.5929561967034,1.0143434385825112,61.7
26000,-2669526.319729265,300.25328313957317,1990.754804886886,1.0152800264112374,61.4
28000,-2668057.2541298345,300.5635514224893,1993.1853143835235,1.014041984103715,61.2
30000,-2669661.5682580583,299.87266828669453,1993.4089381441067,1.0139282272736259,61
32000,-2666000.1444866266,299.7590728405372,1996.9433807175437,1.0121336490559911,60.9
34000,-2668608.49440792,299.49150355474916,1994.512820750563,1.0133670587904566,60.8
36000,-2669574.498270264,299.21595107874134,1993.990954603676,1.0136322766246357,60.6
38000,-2670505.908734005,299.76828292533315,1994.5661213923968,1.013339978658057,60.5
40000,-2670183.255762497,299.6804056267757,1990.3174760350144,1.0155031120514053,60.4
42000,-2670392.167378193,299.8708112385195,1988.7965675456999,1.0162797059621391,60.3
44000,-2669895.7915306576,299.19179971160844,1989.4458347082634,1.0159480371981298,60.3
46000,-2667385.943533171,301.8000131777588,1987.793177988128,1.016792699192937,60.2
48000,-2668546.7760614064,302.4217897962986,1987.2015596287729,1.0170954129391023,60.2
50000,-2671781.9405836146,300.4824979188595,1993.1148512903644,1.0140778337863097,60
52000,-2671260.6600213517,299.0337409152962,1991.1010946765496,1.0151034501903033,59.9
54000,-2668768.8666288927,300.0361026969734,1989.900170131089,1.0157160752193441,59.8
56000,-2669719.2563268226,299.94066491709117,1991.7985635158389,1.0147479910398995,59.6
58000,-2672635.1382984575,300.50920201097733,1989.7083685036448,1.0158139870537277,59.5
60000,-2670905.796639137,301.3175609279564,1987.4471392428254,1.0169697351819273,59.4
62000,-2671170.100397432,300.9387092365401,1987.498459284401,1.016943475574607,59.3
64000,-2673572.9730526768,299.7195320316355,1987.0305719693736,1.0171829358823816,59.1
66000,-2672864.542986689,300.6070279754821,1986.8920429816574,1.0172538553482515,59
68000,-2671163.3514492493,299.52936586877325,1989.9436514467704,1.0156938812887386,58.9
70000,-2669336.047201887,300.4227644629785,1992.5337184836806,1.014373594852874,58.9
72000,-2669274.281966962,300.110654574011,1994.211637939591,1.0135201061067525,58.8
74000,-2668844.8918048088,300.88911981138955,1994.5039906166749,1.0133715452025416,58.7
76000,-2672221.0878608264,299.91677101212235,1992.5562033492506,1.0143621482227214,58.6
78000,-2672955.676039383,300.21626687973713,1986.9913347707472,1.0172030222351482,58.5
80000,-2670800.1660255156,300.2914495756354,1989.0369472697337,1.0161568862047707,58.5
82000,-2666616.9751748946,299.28796713110984,1991.3163279091987,1.0149937318125672,58.4
84000,-2671592.6570805274,300.1350802960002,1988.6068753193922,1.016376648380657,58.1
86000,-2669860.0888922755,299.7018199762551,1988.6113175644414,1.0163743779550118,58
88000,-2671768.58018939,300.3648609063815,1990.6726055975191,1.0153219495765256,58
90000,-2670985.1293936037,301.3363909269371,1988.8065333199222,1.016274613453679,57.9
92000,-2669142.0303600207,300.00650270172935,1995.0840160501123,1.0130769304068685,57.8
94000,-2671779.043652259,299.88622263206526,1988.882781212191,1.0162356524862584,57.8
96000,-2670662.3125979695,302.1119424147328,1989.2762709487668,1.0160346355108711,57.7
98000,-2674278.653084278,300.14329852801103,1991.6398471742655,1.0148288576127316,57.7
100000,-2671001.739558967,300.00897735266483,1990.6076531647757,1.0153550789732393,57.6
102000,-2670390.740681462,299.9313247855481,1991.6832187698262,1.0148067583419433,57.6
104000,-2669392.0051773097,300.1004074923133,1991.3983662369526,1.0149519177838673,57.5
106000,-2671468.568555953,300.06518834961327,1988.3028738414941,1.0165320472423065,57.5
108000,-2669309.569278,299.5999935573074,1995.7528892452767,1.0127373993922624,57.5
110000,-2669589.5833712127,300.10981268060937,1992.493489246245,1.0143940754599203,57.4
112000,-2671143.960851947,301.100821973751,1992.2228008906648,1.01453190375105,57.4
114000,-2669827.0113412086,299.4614123294368,1990.5350775337388,1.015392099187761,57.3
116000,-2672265.27470755,299.94038082520825,1989.8110084401526,1.0157615885682976,57.3
118000,-2673853.819515573,300.98091780637355,1986.5526222858243,1.0174276624790308,57.2
120000,-2670307.6055380087,300.87199147924315,1988.5378835779911,1.0164119112717847,57.1
122000,-2673449.246814534,299.4627838557218,1987.4214052591844,1.016982903341664,57.1
124000,-2671929.8563898243,299.4714007629155,1989.230240597631,1.0160581463293195,57
126000,-2670720.004310269,300.88577839246136,1990.93259543397,1.0151893617690728,57
128000,-2670063.4605113957,300.3150212647223,1991.187747617822,1.015059274697681,57
130000,-2672649.5712656807,299.496249886495,1986.5065768060383,1.017451245559708,57
132000,-2672754.827523917,298.6685020986103,1985.7591883191253,1.0178341879383204,57
134000,-2669939.5832785033,300.588377671763,1988.9750706987718,1.0161884986189251,57
136000,-2672762.2475261036,301.17450820934573,1987.5087756747853,1.0169381970138172,57
138000,-2670480.037546683,300.8436045997028,1987.7788509614786,1.0168000277828813,56.9
140000,-2670300.780713493,300.2870939031755,1988.8686648006073,1.0162428654314821,56.9
142000,-2669650.8364041485,300.95734656273635,1990.6352384605343,1.0153410086555776,56.9
144000,-2669630.3237253074,300.53936187104455,1988.9163341597427,1.0162185086270812,56.9
146000,-2671466.3853556514,300.0284324655647,1991.2876492523023,1.015008349819663,56.9
