#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
2000,-2703561.8785744496,300.42256441906153,2062.478280732166,0.9954637576362778,0
4000,-2703475.256601585,301.03491234156,2038.6800085437762,1.007084177397409,35.9
6000,-2708082.903962929,300.8669522955653,2031.026360303442,1.0108792379603129,35.6
8000,-2713045.1913810167,300.6019124559612,2028.093492401796,1.0123410913120257,35.4
10000,-2714093.5196973477,301.05589481208955,2024.9193643705835,1.0139279694325185,35.3
12000,-2711710.4996927306,299.94767188732203,2027.3005809496276,1.012737034988235,35.2
14000,-2714508.336411204,301.0071682525321,2022.5210318747977,1.0151302987824495,35.2
16000,-2713743.559226878,299.8647898863577,2026.8624429744248,1.0129559539165818,35.1
18000,-2713033.262963593,300.00353474418677,2025.2885783782297,1.0137431284113152,34.9
20000,-2713651.118452752,300.43075667413456,2023.0749154716584,1.0148523733250816,34.9
22000,-2714716.8007161748,300.3994954157088,2028.3473269872575,1.0122144033538838,34.9
24000,-2712458.2010950334,299.94623393348206,2023.8213533389219,1.014478069417337,34.9
26000,-2713869.3225095477,300.24597937877627,2025.2050701580984,1.0137849295531212,34.8
28000,-2718754.7214969248,300.00639046735495,2020.4557145330882,1.0161679687472451,34.8
30000,-2713500.3541044556,301.02969060171665,2021.3347540967873,1.0157260568639797,34.7
32000,-2713889.9424314518,300.4949093213056,2024.7393886431964,1.0140180958087033,34.6
34000,-2714113.529119173,300.19711229928726,2023.28371483827,1.0147476423221085,34.6
36000,-2713296.753730485,300.9125350556413,2026.3773307817396,1.013198454302089,34.6
38000,-2712110.837083772,299.99053767677157,2022.1848449659158,1.0152990635311863,34.5
40000,-2714901.3389637712,300.4256428260127,2022.0685684296295,1.015357447040156,34.5
42000,-2715511.5569720976,300.08315926962257,2022.957471650415,1.0149112910939382,34.5
44000,-2716817.215267319,300.6997680326824,2022.4091985004702,1.0151864325494337,34.5
46000,-2717121.341731893,299.35445988997,2023.9423330943637,1.0144174296912283,34.5
48000,-2716594.203602573,298.9284777943561,2021.0459636117466,1.0158711955822035,34.5
50000,-2715544.4732331485,300.2975695902321,2018.1850368164824,1.0173112682568888,34.4
52000,-2713856.2233718075,300.49382146305476,2021.9906072641988,1.0153965958124676,34.4
54000,-2715925.4122177754,300.2433452342589,2021.4095068536778,1.0156884947951665,34.4
56000,-2714867.4610810876,300.3752550258358,2021.5526023898076,1.0156165993176351,34.4
58000,-2712094.977961866,299.6499487227396,2022.875035315481,1.0149526508248463,34.4
60000,-2716647.379937591,301.20408983368316,2020.8446286378485,1.0159724059364028,34.4
62000,-2713218.842098728,299.9461905420288,2021.8899463088603,1.0154471479167344,34.4
64000,-2716716.216304682,301.4949845403232,2020.2225529264897,1.016285248576551,34.4
66000,-2717461.56993841,300.22763349031305,2023.0021594108964,1.0148888718827302,34.4
68000,-2717260.3321748357,300.69512510106966,2017.6742487749023,1.017568807565182,34.4
70000,-2713734.0384461842,299.5234566356918,2024.164953706703,1.0143058625835415,34.4
72000,-2717502.6849659644,300.72801141914476,2022.2487892800061,1.015266959369444,34.4
74000,-2712914.213038929,300.32100173896833,2025.0971442129623,1.013838958416378,34.4
76000,-2715314.269241182,300.24053365082483,2022.4619373058404,1.0151599600019443,34.4
78000,-2718693.94942756,300.9462204399006,2020.6190672651226,1.0160858187682658,34.4
80000,-2717179.6260979436,300.0473729808072,2021.8189947474877,1.0154827829368935,34.3
82000,-2714892.5076733455,300.28349618342907,2022.7520239248443,1.0150143740294366,34.3
84000,-2714412.907878848,300.3844562061812,2021.9862829073354,1.0153987674084253,34.3
86000,-2718028.2753380947,299.9486971893764,2018.746596529095,1.0170282802759196,34.3
88000,-2716332.019935429,301.9183875230597,2018.1135994665576,1.0173472791242018,34.3
90000,-2717436.3456372786,300.8551065296301,2022.6045547790402,1.0150883792532275,34.3
92000,-2716711.2957421243,300.99511658077904,2023.4116628629781,1.0146834759644685,34.3
94000,-2715571.838077601,298.79876470143427,2022.2624247355432,1.0152601137556834,34.3
96000,-2721454.2195365056,299.80966902844006,2020.5885329907524,1.0161011734249252,34.3
98000,-2714150.0984924994,300.41429981693653,2022.2321287892137,1.0152753238126688,34.3
100000,-2715972.7042119186,300.7934075410571,2018.3225408836786,1.0172419609810912,34.3
102000,-2716141.841761358,300.461747451308,2021.581610937838,1.0156020257962188,34.3
104000,-2718162.590723606,300.47521181320315,2021.923630753182,1.0154302309707157,34.3
106000,-2713556.499666488,299.26368016603317,2025.5101532738959,1.0136322328783816,34.3
108000,-2717189.3203060664,299.80195169217126,2022.235247499936,1.0152737580452627,34.3
110000,-2714073.85323829,299.6635282558983,2020.2708584033858,1.0162609487934842,34.3
112000,-2715304.960935075,300.8216902208125,2022.0391400969465,1.0153722243390477,34.2
114000,-2717183.1088381745,299.9784137150939,2023.214039475748,1.0147825881600019,34.2
116000,-2714621.499389954,300.42300737713333,2027.6119642249585,1.012581507510311,34.2
118000,-2715463.4949227273,300.2293944089606,2022.9095340203316,1.0149353418195004,34.2
120000,-2715716.1298914775,300.2324485938085,2021.600875610261,1.0155923477036857,34.2
122000,-2717713.798225295,300.5734666918985,2022.493384808114,1.0151441754038883,34.2
124000,-2713765.7170012165,298.6059045261202,2024.5414235620708,1.0141172492131547,34.2
126000,-2715899.6162085086,299.8881109543403,2020.6950692779717,1.0160476019345495,34.2
128000,-2717289.416998584,299.56138651717663,2021.043198758751,1.0158725853271233,34.2
130000,-2717051.7494503465,300.2968348449317,2019.6125640716673,1.0165921998631393,34.2
132000,-2719064.3187223393,300.3487257493479,2018.372983516401,1.0172165383446177,34.2
134000,-2715463.4374643266,300.57829323739895,2019.9524877064678,1.0164211246929111,34.2
136000,-2716744.5559886266,300.2731665925485,2019.4333790287267,1.0166824024510916,34.2
138000,-2718176.9698594715,299.60913940370835,2018.6811721762854,1.017061241606289,34.2
140000,-2717867.3253597934,300.04981141330563,2021.7191774473383,1.0155329198455563,34.2
142000,-2715373.155028809,300.1025211216722,2022.2055366570446,1.0152886747481247,34.2
144000,-2714835.620440766,300.103613553354,2024.2039006862594,1.0142863466890801,34.2
146000,-2717645.223309435,300.26778172370723,2024.3139424512701,1.0142312100536623,34.2
148000,-2717832.1285295486,298.9452404301482,2021.3190704630053,1.015733937992561,34.2
150000,-2714559.3098028377,300.88283234691016,2022.0527048302479,1.0153654128185605,34.2
152000,-2716594.874060251,301.401695251206,2022.789238733706,1.0149957000295962,34.2
154000,-2711902.1299699694,300.12825268483215,2025.450552058997,1.0136620601740804,34.1
156000,-2718375.199423153,299.4680577372836,2023.9186333643854,1.0144293083402867,34.1
158000,-2717902.244340269,300.9184561012423,2019.1744929023882,1.0168127552114956,34.1
160000,-2717994.3411666863,300.4365357053478,2022.2260748817605,1.0152783632269688,34.1
162000,-2716715.844952708,300.3796198954712,2021.7329138121804,1.0155260199575438,34.1
164000,-2713852.7453799564,300.2306313519928,2024.7660306065766,1.0140047533125496,34.1
166000,-2713668.27145952,300.41805410801544,2026.1212708180244,1.013326501701414,34.1
168000,-2719467.172405649,300.70151744244737,2022.1155834600688,1.0153338395561575,34.1
170000,-2717457.6173689608,300.5984656103143,2025.119026153081,1.0138280036215777,34.1
172000,-2717137.199140109,301.27541120038956,2022.9883510877191,1.014895799215517,34.1
174000,-2719425.288402319,300.26471229399516,2020.2950869124875,1.016248761223556,34.1
176000,-2717328.8780198228,299.90131528857654,2022.7766669291075,1.01500200835212,34.1
178000,-2717013.4403958768,300.94561148390085,2020.2468009522668,1.0162730506060393,34.1
180000,-2716272.713932138,299.71678566756697,2021.5414105888187,1.0156222220463118,34.1
182000,-2715593.2122324277,299.5898217205952,2022.5376534476723,1.0151219562617506,34.1
184000,-2716035.5503928065,300.2359482440336,2022.4583639026514,1.015161753648678,34.1
186000,-2715335.271129109,299.7236571329223,2020.5806484021416,1.0161051383939776,34.1
188000,-2716710.577912569,301.01658703246056,2019.9489351366158,1.0164229123158464,34.1
190000,-2716017.894488247,300.7090625291932,2021.1374252837722,1.015825224795186,34.1
192000,-2718612.519565124,300.47158135036193,2021.4970493944495,1.0156445095954385,34.1
194000,-2718117.107807055,299.87194729251144,2022.103947253414,1.0153396822995027,34.1
