#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
2000,-2676744.3990251627,299.61944380648083,2044.2363825878522,0.9956832648863335,0
4000,-2681722.217752371,301.5231566872349,2018.3552907606393,1.0084507742179691,64.5
6000,-2684843.5552968904,300.8999075584675,2017.9869073549235,1.0086348668547196,64.6
8000,-2687002.0863967333,299.53109864052664,2009.216424308282,1.0130376852335543,64.9
10000,-2688688.8993418105,300.5280572609254,2006.869020397314,1.0142226198755793,64.6
12000,-2692004.757445913,300.1390883313137,2005.0160885382659,1.0151599118081864,64.5
14000,-2685044.8850975987,301.126610681409,2008.954524358711,1.0131697511989404,64.4
16000,-2690777.521411989,299.64392893160345,2010.0134851950313,1.0126359701596754,64.4
18000,-2688256.136371324,300.09108443111063,2006.6195764202569,1.0143486984441807,64.3
20000,-2691066.906870272,300.24096155704603,2002.9419661480501,1.016211148408306,61.9
22000,-2687909.255780209,299.7909181504958,2005.4993338376792,1.0149152987847576,62.1
24000,-2688847.1377082486,300.2957947948627,2007.468506530026,1.01391974469018,62.2
26000,-2688503.0691414736,300.66643512208543,2007.5185626984696,1.0138944632614193,62.2
28000,-2689886.394860318,300.3847908321329,2006.5111369747183,1.0144035176816197,62.2
30000,-2688745.761158403,298.57467766468454,2005.6037472547603,1.0148624614411204,62.3
32000,-2687464.1259106454,299.639466698553,2007.3786607653494,1.0139651254629076,62.4
34000,-2689165.8707207013,300.3754045078269,2001.0795654612414,1.0171569340599138,62.3
36000,-2689150.853327008,299.86980640991163,2008.9966028502517,1.0131485303294054,62.3
38000,-2686482.197640447,300.3835911916365,2004.0569610717214,1.0156457601514537,62.2
40000,-2689297.294548461,300.35040647366054,2003.0384379663262,1.0161622048956,62.3
42000,-2693635.1109928694,301.05679087042114,1999.8430513500539,1.0177858478646287,62.2
44000,-2694754.1827989873,302.09635990756647,2000.0979126890634,1.0176561570818095,62.2
46000,-2692599.3834842704,300.82203190964185,2001.3776819304358,1.0170054228101701,62.1
48000,-2690104.9565006625,300.06427678314986,2002.972557730226,1.0161956277229454,62.1
50000,-2692011.289082898,300.5307080398431,2005.3830329234981,1.0149741581523335,62
52000,-2689934.6841609757,300.33190101412634,2007.1666807638474,1.014072211900162,61.9
54000,-2691885.1440454945,300.7575797956788,2003.259459793329,1.016050090598094,61.9
56000,-2692821.915551245,299.94050500814535,2002.0005912802021,1.0166889882449701,61.9
58000,-2689322.3512039725,299.38445930949774,2005.0746554193286,1.0151302596704699,61.9
60000,-2691601.3649496213,300.6125027218626,2003.5162852551666,1.0159198458201064,61.9
