#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
2000,-2655901.256151391,300.38321564442236,2029.727336572085,0.996611852840229,0
4000,-2665090.544601405,300.4641158768263,2006.9231067630571,1.0079361360905357,142
6000,-2668564.7686745655,299.5132581190917,1997.4592182059578,1.0127117005564783,142
8000,-2671848.888917314,299.98714795572505,1995.3759719988277,1.0137690089728904,143
10000,-2669904.073938722,300.95513159668695,1999.1448967342903,1.0118577822778143,142
12000,-2668648.793770345,300.4867377809912,1998.1508859045473,1.0123611464635918,142
14000,-2670594.9363280144,298.9504057030589,1995.9680856969671,1.01346826943639,142
16000,-2671451.3450249117,300.29712925024336,1993.5869852262733,1.0146787356920746,141
18000,-2670871.441711761,299.9409597896272,1993.0002331706269,1.0149774636219957,141
20000,-2675311.4989724364,300.36731692508306,1994.5166557936393,1.0142057805261373,141
22000,-2673094.259924842,300.1315261460255,1991.779152799334,1.0155997058301198,141
24000,-2670465.537871685,299.7239209528863,1993.5384908305143,1.014703418552427,141
26000,-2671773.048115652,299.5455795581256,1993.3605864884812,1.014793979259436,140
28000,-2673161.8307573143,300.2179814205234,1990.4106213170726,1.016297993990321,140
30000,-2671505.181946071,300.6106093598711,1994.6271602126862,1.0141495924711432,139
32000,-2670887.200633241,300.55204300982393,1995.5640171974512,1.013673479892887,139
34000,-2670480.8577744924,301.0174134938017,1992.8896978671332,1.015033759182207,139
36000,-2671674.7167764865,300.0262137794828,1993.633666166474,1.0146549769854536,138
38000,-2674364.698998712,300.4887995397619,1994.6549197972556,1.014135478565475,138
40000,-2671520.5769228805,299.71116721710086,1993.1764378914856,1.0148877355792316,137
42000,-2675998.2950970232,300.09711377174756,1991.335267008101,1.0158260917564215,137
44000,-2674208.780074924,301.360472279537,1990.7545176253152,1.0161224318478703,137
46000,-2670717.702267049,298.8920710412262,1997.632829431011,1.012623687325834,137
48000,-2672273.666562708,300.5891430186943,1991.9557473220018,1.0155096690180503,137
50000,-2673463.8120307513,300.7474492307554,1988.2001167462763,1.0174279262049328,136
52000,-2675449.1089013685,300.82282672600354,1989.7264571073476,1.0166474464044555,136
54000,-2675212.214564599,300.25666604123194,1992.9723906883696,1.014991643192247,136
56000,-2676295.3071280774,301.2406959424468,1987.0389348383117,1.0180224887370772,135
58000,-2676803.071303876,300.2979713924371,1987.3486323127388,1.0178638457146374,135
60000,-2674499.1110214647,300.06533140302867,1993.0963767262945,1.014928502847487,134
62000,-2674837.8616857063,300.30054439099837,1990.1477507045122,1.0164322327050743,134
64000,-2674131.157704428,299.2338430185895,1991.896372473054,1.0155399395351496,134
66000,-2673623.5674378388,300.76647513082054,1991.4657748780107,1.0157595210419725,133
68000,-2673488.2864239123,299.37773380294834,1995.6621341449786,1.0136236425251608,133
70000,-2674646.2617151774,301.7401429707486,1991.9255414640606,1.015525068359121,133
72000,-2670470.160787465,300.1837869563665,1993.5770700679884,1.0146837822490515,132
74000,-2671219.037469832,300.5737884942894,1989.5418844292399,1.0167417622584431,132
76000,-2677783.9598033484,299.7305847506645,1989.8371820002728,1.016590874851434,131
78000,-2675016.8235976174,300.38161524279514,1986.9731811795587,1.0180561775175605,131
80000,-2676075.2711011134,299.27571839444056,1990.6548469656104,1.016173308368869,131
82000,-2675294.189114265,299.7832268451156,1989.1709705545331,1.0169313506006208,130
84000,-2672152.741699079,299.0630327012075,1992.0802086281208,1.0154462219443656,130
86000,-2675096.265599197,299.11818850024866,1994.422110497898,1.0142538588065362,130
88000,-2671783.4957810957,299.71809542542866,1993.7337083670054,1.0146040633071365,130
90000,-2670985.138454659,300.6102369375937,1991.744450199551,1.015617400846229,129
92000,-2673728.362912275,300.39061210183337,1994.13410628131,1.01440034313129,129
94000,-2673644.027004184,301.3429954907847,1991.5144561852871,1.0157346914449745,129
96000,-2675265.209097754,300.5557249415824,1989.867069397349,1.0165756058640687,129
98000,-2676163.676277263,300.5935286403544,1993.3735510262793,1.0147873792245883,128
100000,-2674608.325161455,300.61668035433917,1994.3670664165447,1.0142818519843504,128
102000,-2672387.1626630984,300.60583880468585,1991.732696270715,1.0156233943686912,128
104000,-2673383.5554057993,300.188423666322,1992.052565790061,1.015460312845356,128
106000,-2677247.1089285463,301.2189545246963,1988.9707261538424,1.0170337326046226,127
108000,-2674044.829916293,299.91022981579783,1988.8692287535519,1.0170856345991706,127
110000,-2675276.533072274,300.1565262576142,1993.9447694087485,1.0144966664555066,127
