#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
2000,-2643384.1265743636,300.28643336604273,2007.2580136142117,1.0023422690803052,0
4000,-2652328.0607813187,300.2864865932243,1991.006514049541,1.0105238419855982,62.9
6000,-2650430.9939498473,300.3405353510642,1985.833112348735,1.0131564125326016,62.4
8000,-2653202.389281079,300.2422987335485,1985.5519875703314,1.0132998604874999,62.4
10000,-2655848.8608599845,301.41255843300985,1983.1808862552487,1.0145113670366135,62.2
12000,-2654496.4613455962,301.1457844635209,1979.857791704233,1.0162141747887001,61.9
14000,-2656340.1807769556,300.0464855040793,1980.9059655088622,1.015676456645359,61.3
16000,-2655186.359144425,300.2844636274524,1980.3660967496278,1.0159533407979064,60.9
18000,-2655140.099593103,299.1434188695169,1983.2393872532525,1.0144814412859253,60.5
20000,-2656175.8076603916,300.10194502514196,1984.331178621175,1.0139232672812801,60
22000,-2656462.0199102852,300.27223092739314,1982.9641369943874,1.0146222589003837,59.6
24000,-2657250.908116121,299.71364896818324,1984.534801337893,1.013819233927928,59.3
26000,-2658889.3302355614,299.312581505471,1983.2256143135503,1.014488486571958,59
28000,-2657235.4099457934,299.73141356153627,1979.8233397560048,1.0162318584665493,58.8
30000,-2657514.343226809,301.1680964584036,1982.154387434637,1.0150367523084982,58.5
32000,-2656845.9310341775,301.4410132604214,1982.2024612967318,1.0150121348752117,58.4
34000,-2655576.168165995,300.3726616789408,1984.407594663151,1.0138842228817515,58.2
36000,-2656306.9972570036,300.9641300866299,1985.617203015777,1.0132665797515799,58.1
38000,-2656379.9791061208,299.6395430381219,1980.664881226759,1.015800083631287,58
40000,-2660255.6825097427,299.4128935633315,1982.5611260431012,1.0148285092279947,57.9
42000,-2656713.480357595,299.80555625993406,1977.5090909864366,1.0174211391321966,57.7
44000,-2656522.540674355,300.2788558027858,1981.0299169503312,1.0156129065900115,57.6
46000,-2657525.872602178,299.94095482449035,1978.6587403819597,1.0168299924257314,57.5
48000,-2656876.2526919562,301.01102067714373,1977.684570230446,1.0173308637187046,57.4
50000,-2658359.67880773,299.7831233452357,1979.3077736021069,1.016496564520719,57.3
52000,-2660664.595637653,300.5786676615432,1977.1713258124641,1.0175949477564548,57.3
54000,-2656019.4860480856,301.38708901502156,1979.2871444060825,1.0165071589950716,57.2
56000,-2658551.7054397706,300.7863109579936,1980.5045724839517,1.0158823059278737,57
58000,-2658469.1633605063,300.00791139842994,1979.4202654965006,1.0164387962811083,56.9
60000,-2659084.1103744283,300.2085206203464,1977.9968996455773,1.01717022526992,56.8
62000,-2659972.545755394,300.9158517578153,1979.6442145039455,1.0163238107408339,56.7
64000,-2658108.966345474,300.2631289069336,1980.5446310161658,1.0158617586736285,56.6
66000,-2655545.308710683,299.9927651993104,1980.0645432532435,1.0161080651896568,56.6
68000,-2657761.9758930635,300.72766111506996,1979.4583651012053,1.016419232385738,56.5
70000,-2658712.0394497104,300.8482315893065,1979.7434394535185,1.0162728724844614,56.5
72000,-2659892.9957299363,300.5318204027442,1980.29639437329,1.0159891002742676,56.5
74000,-2658172.962637691,300.5680395870691,1979.2621383138155,1.0165200015950062,56.5
76000,-2659227.9079113565,299.62579722422726,1980.0261798069391,1.0161277525087418,56.4
78000,-2656804.436583858,300.75267090591876,1978.6852862284436,1.016816350734924,56.3
80000,-2657892.015945554,299.65566626152105,1982.7383143279735,1.0147378186302036,56.3
82000,-2658549.222256966,300.3184948677609,1979.5434691136022,1.0163755347573185,56.2
84000,-2658707.7477063388,300.0644082538283,1981.8197872636972,1.0152081258476138,56.2
86000,-2657512.2492786963,301.0533486318003,1982.5509171621222,1.0148337349517706,56.1
88000,-2658128.9236423913,300.8059056875238,1984.3158068024593,1.0139311217994988,56.1
90000,-2659539.992067784,300.4529568671573,1981.0039426299693,1.0156262229971278,56
92000,-2658753.57263639,300.0636106887799,1979.5001828058469,1.0163977601375305,56
94000,-2660210.7367988136,300.8628281378875,1978.9572930318982,1.0166765897778598,55.9
96000,-2658729.3971137274,300.68197024558225,1981.0774772019074,1.0155885245020329,55.9
98000,-2658042.8755918723,299.3794758480881,1979.2825468494232,1.0165095201785548,55.8
100000,-2659120.502620686,301.12505310256904,1979.7335699064317,1.016277938900024,55.7
102000,-2656217.0251610614,300.4548066938183,1979.2990426318227,1.0165010484319967,55.6
104000,-2655954.7174969763,300.72558939865763,1980.0742844000406,1.0161030663580963,55.5
106000,-2658263.2806205843,298.9728955449654,1979.772182078447,1.0162581180848071,55.5
108000,-2657116.8118411116,300.6129628270713,1978.533551446355,1.0168943309174134,55.4
110000,-2656220.967865266,300.3681466929358,1978.6846865145778,1.016816658918875,55.4
112000,-2658638.980638711,298.87689803485335,1979.895353772976,1.0161948954330418,55.3
114000,-2657607.932097368,300.98152406473196,1980.6088678155718,1.0158288113769276,55.3
116000,-2655969.643100176,299.8166995254876,1981.643013488318,1.0152986881597863,55.3
118000,-2655413.751325866,300.23162478267176,1981.2041075265936,1.0155236123084246,55.2
120000,-2658769.9380196296,298.9451186687277,1976.1159294308177,1.018138420945375,55.2
122000,-2656621.510145519,300.2248068300417,1978.8442454761273,1.01673467055089,55.1
124000,-2656606.3945799284,299.9096608018912,1979.8709505806903,1.0162074206935523,55
126000,-2658279.9606679175,299.37521847006377,1981.8511097967967,1.015192080802672,55
128000,-2654534.6356009226,301.0494784068934,1982.9380760278766,1.014635593677213,54.9
130000,-2658007.0095590632,300.5156409500552,1980.2793873929163,1.015997825763609,54.9
132000,-2656063.134399684,300.1719865687889,1981.0907493768755,1.0155817206397681,54.9
134000,-2658002.252868885,301.48110115968336,1980.711330143804,1.015776262485267,54.9
136000,-2656508.595278483,300.93934624941903,1980.2972975022642,1.0159886369250548,54.9
138000,-2658988.1379595827,300.17579716800503,1979.5938333388865,1.0163496764395443,54.9
140000,-2657434.129525641,300.99653878898664,1980.8648957262942,1.0156975149271852,54.8
