#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
2000,-2660481.85853431,300.026902029457,2026.5519375237225,0.999159931097988,0
4000,-2667598.6590677127,300.05719786855184,2006.1065434272234,1.009342948856272,37
6000,-2671697.3719411492,302.21964060931566,1998.871151736068,1.0129965068053866,36.4
8000,-2673063.738864055,301.0168899700609,1996.9562266446153,1.013967891356812,36.1
10000,-2675138.190083608,299.7368695123156,1995.2949861424024,1.0148120996271501,36.2
12000,-2672010.0898728035,301.9875376715447,1995.184825890347,1.0148681305047074,36.4
14000,-2674135.9445230644,300.6806187905217,1993.0247940618783,1.0159680402851177,36.5
16000,-2672082.8182035647,300.38030959457774,1995.0805888460638,1.014921154354898,36.3
18000,-2675338.0900268666,300.0879542607389,1993.5524639655944,1.015699125487195,36.4
20000,-2672663.315035384,300.7640847191762,1992.076704895231,1.0164515700057792,36.3
22000,-2676017.37946479,299.97044137848576,1988.938554563919,1.0180553288669347,36.3
24000,-2674120.7831788994,300.4150941762227,1992.814522343815,1.0160752400987143,36.4
26000,-2676439.7461915947,300.5551645230968,1997.2269056278794,1.0138304709179418,36.3
28000,-2673724.7551120203,299.75473607424664,1995.6018160952651,1.0146560691273872,36.4
30000,-2678539.0498632398,300.88426566683364,1993.7077505704076,1.015620014359366,36.3
32000,-2672816.5053403806,299.8002669750962,1994.4917051682637,1.0152208149152828,36.3
34000,-2674684.240774274,300.8185498103171,1998.3960098010962,1.013237358527469,36.4
36000,-2673594.8794132974,300.7661305127012,1994.5443952890523,1.015193995704093,36.3
38000,-2674625.922602985,299.79479305620725,1992.417767835065,1.0162775733840557,36.3
40000,-2676009.6116714403,301.01575398057645,1991.0503181783836,1.0169755509319502,36.3
42000,-2673587.2681232207,300.79379549309914,1994.089758316104,1.0154254520481403,36.2
44000,-2676641.403997682,300.52838391615217,1992.6005797311052,1.0161843346125812,36.2
46000,-2676983.4602991883,300.9813410051812,1992.464456301013,1.016253759438101,36.2
48000,-2676054.652189741,300.4652856718718,1992.8154363321928,1.0160747740841787,36.2
50000,-2678174.990461737,299.5804348449513,1992.855617166681,1.016054287536145,36.2
52000,-2674518.839777652,299.3012170546854,1992.9525403722696,1.0160048737961762,36.2
54000,-2677148.6586958244,302.34796746411257,1994.3810885032578,1.0152771232815412,36.2
56000,-2675142.519683428,300.5609264060262,1993.2959796606522,1.0158298190153459,36.2
58000,-2673063.142581938,301.92182929795814,1992.553451143803,1.0162083697681257,36.1
60000,-2676987.4594752695,300.1451613742475,1993.8373164265304,1.0155540161580225,36.1
62000,-2676240.2878800035,300.2389802864175,1991.4091427119868,1.0167923059272337,36.1
64000,-2677158.6452397443,300.3116958613356,1993.1002916605207,1.0159295559460906,36.1
66000,-2676742.0783162415,299.9132875898291,1994.5940088054133,1.0151687437762853,36
68000,-2675432.2378460877,301.06613748498125,1993.5060275673216,1.0157227850139101,36
