#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
2000,-2702234.1264545247,300.8492414321626,2059.704464021431,0.9971475963598554,0
4000,-2705229.1780672166,300.06300022277077,2039.443070155249,1.0070540264476664,17.3
6000,-2709064.919146234,300.31244330482605,2031.739814257783,1.0108722293562575,17.3
8000,-2710159.660761405,301.35742790781813,2025.0165804640208,1.0142284143866174,17.2
10000,-2713198.2447260264,300.41234742546834,2025.888289856828,1.0137920070882982,17.3
12000,-2712002.6775943153,300.7605409607298,2025.502947895756,1.0139848760251402,17.3
14000,-2713327.6508608907,300.7641935363663,2027.407569529475,1.0130323011407572,17.3
16000,-2711155.4587164037,300.7809612362742,2026.587166542038,1.0134423968622475,17.3
18000,-2713217.703396078,299.8631030461885,2022.5903579560818,1.0154450442382807,17.3
20000,-2716621.965280466,300.2097986869661,2025.6170413861755,1.0139277630213617,17.3
22000,-2713602.8947964814,299.2471551759494,2021.5408777202454,1.0159722111713128,17.3
24000,-2712765.667558849,299.3264847095005,2027.15763803209,1.0131571995083894,17.2
26000,-2712090.480304051,301.1995576444083,2024.6657107733367,1.014404177727768,17.3
28000,-2712966.2360676527,301.6654045776333,2023.1209700470413,1.015178719373799,17.3
30000,-2715685.202098325,299.8235206008472,2024.3203645780784,1.01457723364785,17.3
32000,-2715053.2329978067,299.4404037325383,2025.681459108684,1.0138955195918786,17.3
34000,-2715574.5792752746,301.1825143065084,2025.3478306552392,1.014062535049192,17.3
36000,-2713651.3945692237,300.31929381332804,2028.398602801107,1.01253735467694,17.3
38000,-2715349.9487858806,299.6215141971673,2023.3754510389854,1.015051039813699,17.3
40000,-2717234.6993821226,300.4384093203459,2021.8358564540226,1.0158239844023356,17.2
42000,-2718746.733412048,300.6666915252095,2021.2408168035613,1.0161230361252098,17.2
44000,-2714529.6049163416,299.6622065782817,2024.0599139100032,1.0147077867587049,17.2
46000,-2711166.2101055905,299.29467047472156,2022.4626431602255,1.015509167725044,17.2
48000,-2716768.4688007496,301.0104069923668,2024.6411251350194,1.014416495848699,17.2
50000,-2711645.5372462347,301.02734674610593,2027.8166264040776,1.0128279494150731,17.2
