#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
2000,-2732823.489119597,300.9215145433515,2085.260228651117,0.9955230761185389,0
4000,-2737718.412271602,300.8783467311924,2055.086815144365,1.0101396505668196,35.3
6000,-2744218.6795113757,300.0808408438193,2048.654319226144,1.0133113516772143,34.9
8000,-2745277.8438118547,299.4174592900087,2048.045330937146,1.013612660802046,34.5
10000,-2746125.157888701,301.36975507654324,2047.9694453365282,1.0136502192752614,34.5
12000,-2743790.078780923,300.0430478220035,2047.4366499034356,1.0139139970129554,34
14000,-2744145.4621916823,300.65699363615767,2045.8142209678044,1.0147180795098583,34.1
16000,-2746936.4473193474,299.82741750094306,2045.137393744034,1.0150538950021402,34.1
18000,-2744699.520589577,300.07392986159795,2046.9560938943366,1.0141520297022872,33.9
20000,-2743505.595912734,299.7839388860248,2046.027368564436,1.0146123699170986,33.9
22000,-2744589.2639853302,299.81631811789913,2048.422691543383,1.0134259329895936,33.8
24000,-2743821.7408087514,298.8061876339443,2045.6516938283125,1.0147986989170383,33.7
26000,-2745461.007601332,299.90221372886634,2046.0361212996895,1.0146080295081652,33.6
28000,-2746109.182104351,301.2149545095427,2043.6680736515286,1.015783680382717,33.6
30000,-2745527.6299596988,299.9689443120809,2048.6991853181357,1.013289160366432,33.6
32000,-2747885.5281110276,300.1519596585284,2043.9367745213654,1.015650143004317,33.5
34000,-2746272.794292912,299.2617964420653,2046.0832227427472,1.014584672930194,33.5
36000,-2745846.7195946947,300.17736511802883,2048.4979862793957,1.013388683434747,33.4
38000,-2745917.4883783273,299.8296889484974,2044.9251834755328,1.015159231305562,33.4
40000,-2747366.096245097,300.64883965790256,2043.6441498768893,1.0157955715820008,33.4
42000,-2742816.122471733,300.1226979183844,2047.5487467685266,1.0138584884050572,33.5
44000,-2745397.8965140227,300.31338737849416,2044.933274098339,1.0151552149053533,33.4
46000,-2745400.2933519054,299.923840729501,2048.2428208683486,1.0135149290816616,33.4
48000,-2744755.5849827137,300.72078353644173,2050.1044077052265,1.012594612026654,33.4
50000,-2746366.6060585044,300.0437588939283,2044.1341472933252,1.015552076209468,33.4
52000,-2747327.113322433,300.1946632517251,2046.1037930934417,1.0145744728794428,33.4
54000,-2746844.8414854296,300.27922033148815,2047.2991057235408,1.0139821150367523,33.5
56000,-2747964.9483407103,300.857832454995,2043.4599661875739,1.0158871285388587,33.5
58000,-2746037.7596983183,301.0163690583053,2044.5054206676216,1.0153676563286027,33.5
60000,-2745708.274628205,301.5617579049354,2048.352590699816,1.0134606155013437,33.4
62000,-2746441.4207970668,300.831976123565,2043.165382876975,1.016033599008664,33.5
64000,-2750683.6740686074,299.5969524440025,2045.3936245160057,1.0149267370605137,33.5
66000,-2749419.9463757854,300.42780101323643,2042.368290832881,1.0164301348841653,33.4
