#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
2000,-2777815.2001073435,299.6550739122279,2106.720455567728,1.0007125807843773,0
4000,-2781273.416888358,301.46352556471123,2097.615804227538,1.0050561498600017,60.2
6000,-2785998.72418529,300.53098459506873,2083.0704879487103,1.0120740878809518,60
8000,-2786609.770235261,300.02098733864835,2086.1245406020703,1.0105924277531255,60.3
10000,-2789086.742680749,300.05481446825877,2077.3804912000855,1.0148461839383685,60.4
12000,-2789176.587129852,300.17447251683853,2078.79670351263,1.0141548043250548,60.4
14000,-2786532.705968516,299.6271760782802,2077.923024609266,1.0145812136033534,60.4
16000,-2791082.9288151283,299.8721867071655,2076.6822541150577,1.0151874028416554,60.3
18000,-2791967.9194711186,300.3441048321694,2076.5925944302653,1.0152312349263832,60.2
20000,-2789604.835316429,300.44280349861236,2078.7483393194557,1.0141783996674718,60.1
22000,-2792786.317838194,300.7258885031569,2078.715596320744,1.0141943745521997,60
24000,-2791698.986532362,300.90379118410266,2076.097613462098,1.0154732852694495,60.1
26000,-2791939.619740449,298.84313479880075,2077.1606982878825,1.0149535689848839,60
28000,-2791785.7354500163,299.92906696217426,2078.722857188623,1.0141908320254356,59.9
30000,-2789230.315410748,300.55119084634526,2075.6543428620303,1.0156901467396948,59.8
32000,-2792994.884254886,301.01808939320756,2076.744829826062,1.0151568135884053,59.8
34000,-2789264.57347068,300.5015150404983,2077.640395920416,1.0147192306339696,59.8
36000,-2789284.901201999,299.5794878151718,2081.2887029540825,1.0129405214615879,59.8
38000,-2791216.071156157,300.33915721170285,2078.393269456395,1.0143516605179475,59.7
40000,-2790296.158622723,299.9144988099396,2078.1523374790204,1.0144692600542828,59.7
42000,-2791055.3353288155,300.8912876888651,2076.414350602802,1.015318384536489,59.7
44000,-2791899.767684888,299.0232854318607,2080.945134659669,1.0131077600117566,59.7
46000,-2789743.5799566936,301.5687299539195,2079.72666410468,1.0137013197308826,59.6
48000,-2793236.676857788,300.77472573759235,2075.5726011575293,1.0157301473852,59.5
50000,-2791771.1026934795,301.0406096904355,2079.825955204901,1.0136529255279543,59.5
52000,-2791617.2886799537,299.83411266932416,2076.917739812617,1.0150722985651937,59.4
54000,-2789100.742161803,300.6299989747891,2077.603093301455,1.0147374495540966,59.4
56000,-2790451.7604049724,300.41442097103754,2075.9232564213567,1.0155585749912268,59.3
58000,-2789892.733716486,300.4583520159338,2074.9408499397946,1.016039403794856,59.2
60000,-2791098.6116000973,300.9097726556069,2074.7740890265995,1.0161210684250992,59.1
62000,-2790474.387171356,300.0922182824238,2078.8220404228073,1.0141424436954851,59.1
64000,-2790416.798610784,299.59130321834914,2078.9707924785844,1.0140698809765203,59
66000,-2792283.6081797164,299.9714085087453,2071.6661247472216,1.0176454781484923,58.9
68000,-2791978.1829321813,301.03887836359905,2071.9141885670642,1.0175236386312245,58.8
70000,-2792428.710062338,299.08003651896365,2076.718214577905,1.0151698238515803,58.8
72000,-2790907.9742056746,300.2963982642806,2075.740173512334,1.0156481485421776,58.7
74000,-2791242.7468188405,299.37250847650097,2078.4311079930617,1.014333193905149,58.6
76000,-2788960.4523721505,300.86437214242756,2081.0966274391626,1.013034011148553,58.5
78000,-2791178.9032046143,301.02106318833563,2078.2456006682487,1.0144237348100402,58.4
80000,-2795222.962094782,300.3914138764586,2076.6226113946054,1.015216560059795,58.3
82000,-2792564.647343911,300.2685260632817,2074.729133318267,1.016143085970257,58.2
84000,-2789030.8107963074,300.32214476389595,2074.256758899562,1.0163744941589956,58
86000,-2789521.233584391,300.117467142165,2077.1780004519355,1.0149451147777084,57.9
88000,-2789439.139094807,301.1408009539259,2076.334805531977,1.0153572817184815,57.8
90000,-2790406.8444689494,299.8906738861921,2080.541019160933,1.0133045417833917,57.6
92000,-2788924.314364556,301.08657700431075,2082.268732977369,1.0124637760218116,57.4
94000,-2790204.289412141,300.56923902589836,2078.88631807936,1.0141110871469694,57.3
96000,-2792102.0245275497,300.34761018500876,2078.755282487911,1.0141750122502362,57.2
98000,-2794243.9213039633,301.4338971148254,2076.6456497916083,1.015205297203199,57.2
100000,-2792725.4968685675,298.99880370274946,2074.5834956100207,1.0162144201684726,57.1
102000,-2793086.633589143,298.84378267773303,2079.237059880359,1.0139400190393533,57
104000,-2792600.255249504,299.7719016036515,2076.383494044324,1.0153334729010404,56.9
106000,-2789401.71714426,299.342160957703,2080.0830946889123,1.0135276179424535,56.8
