#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
2000,-2703033.0997574683,301.0118191328044,2050.231087667017,1.0013011477280394,0
4000,-2703965.623569442,300.46359836141534,2034.2555882217273,1.0091646069819873,63.2
6000,-2707928.5735333897,300.00308494598727,2029.1362041106647,1.0117106663563973,62.9
8000,-2714321.462141363,300.81503257511883,2022.6912895003327,1.014934286732317,62.5
10000,-2713753.64939237,299.3507962821292,2023.8698854133947,1.0143432421147798,62.2
12000,-2712953.2555600926,301.1235770887226,2024.2435641214533,1.0141559926755523,62.2
14000,-2716102.913325349,300.1512287932031,2025.1388224110854,1.0137076621466155,62.3
16000,-2712751.6051274035,300.8620128770121,2022.812371386675,1.0148735346034052,62.3
18000,-2711360.506033551,300.303667994722,2025.3956679022237,1.0135791113422064,62.4
20000,-2712274.246938737,299.89372797745455,2023.583067285989,1.014487012851921,62.3
22000,-2711475.4373563193,300.3423106067867,2021.3774887269253,1.0155939465228823,62.3
24000,-2713162.7378384136,299.6461162837764,2025.0866084590423,1.0137337991439348,62.4
26000,-2714927.0283717867,299.0297226129793,2023.430373189304,1.014563569070548,62.5
28000,-2714943.980314087,300.6980405852147,2025.5027899030822,1.013525506566653,62.6
30000,-2713756.3961101677,300.1736270963943,2023.3656371564712,1.0145960292543685,62.6
32000,-2712686.079952933,301.0227071993258,2022.3873499753265,1.0150868186619821,62.6
34000,-2714122.756017776,299.6819587700474,2023.0094471588725,1.0147746685374084,62.6
36000,-2712350.5556877404,299.82840640001956,2021.590021581436,1.015487175576165,62.5
38000,-2713628.5298148002,300.561764097999,2022.7365602581074,1.0149115715428285,62.4
40000,-2712000.662940111,299.4737513277716,2023.249927996599,1.0146540537487871,62.4
42000,-2715002.5969944745,301.25938237317655,2021.9100193163224,1.0153264594251563,62.4
44000,-2712964.9462862834,299.95575525515363,2023.8267622523645,1.0143648554701252,62.4
46000,-2713056.511662822,300.2306755541831,2023.9598801818283,1.014298139647048,62.3
48000,-2713624.0344203785,300.09215676521956,2022.5605874614532,1.0149998738803248,62.3
50000,-2713725.9695862196,300.5435096924498,2019.3958123317645,1.0165905706312428,62.2
52000,-2714303.833631998,300.9096934200383,2021.4423439985308,1.015561362550632,62.1
54000,-2714623.1228405125,301.04363910596885,2021.7231712998907,1.0154202960778034,62.1
56000,-2713071.1128390282,299.8962138364842,2017.9421795706176,1.017322875735474,62
58000,-2711742.6561899874,300.3699727545133,2024.3001464547162,1.0141276454403567,62
60000,-2713330.702414226,302.12420590855294,2021.8675877451824,1.0153477673966351,62
62000,-2714074.503415093,299.673352646477,2020.1422123111756,1.0162149618367904,61.9
64000,-2714637.7910981774,300.9185585942246,2021.738068093151,1.0154128141460628,61.8
66000,-2714096.8859164994,301.7288715527858,2021.932157653151,1.0153153425144998,61.7
68000,-2713731.2938961405,300.21166029933255,2024.4917443189115,1.014031668417268,61.7
70000,-2711781.3688781112,299.7206196904451,2018.6643356309287,1.0169589391131055,61.6
72000,-2715470.064641161,300.1858360370512,2024.7121146968057,1.0139213008542234,61.6
74000,-2713592.8643356096,299.7215559653145,2024.5384692416326,1.0140082652801758,61.6
76000,-2716279.00290031,300.1122614644807,2018.4574198773696,1.0170631894297844,61.6
78000,-2714970.0215068553,300.0404257505743,2022.0154222567437,1.0152735328286855,61.5
80000,-2714251.6182075087,300.3199602553535,2020.5346870421765,1.0160175691880307,61.4
82000,-2712286.861314127,301.0317734742843,2020.5435006206158,1.0160131373356411,61.4
84000,-2714316.1770483293,300.1955386971138,2020.067358865076,1.016252617606801,61.3
86000,-2714423.0660231113,299.3491247278051,2024.3259602245719,1.0141147135024386,61.2
88000,-2714807.748528432,299.24281439725655,2022.8376725489886,1.0148608408117208,61.2
90000,-2715779.5857317597,299.98484069197866,2018.9274194818022,1.0168264204939115,61.2
92000,-2716779.756496029,300.2651882207097,2018.1007022504507,1.0172429645851842,61.1
94000,-2716172.56648829,299.3548473527786,2022.6059211656177,1.0149771241674284,61.1
96000,-2714481.5415589754,300.79883296462657,2020.183525856956,1.01619417984208,61.1
98000,-2712965.624741962,299.80784538183036,2024.8497556846573,1.013852378639594,61.1
100000,-2714115.871052351,299.0136959029065,2024.5596131112013,1.0139976752939073,61
102000,-2716502.786658073,300.731381803444,2020.420008788196,1.0160752379501405,61
104000,-2716738.272903651,300.0992183857126,2018.9560771658855,1.016811987346675,60.9
106000,-2714776.0678690467,300.7709271648944,2020.116852705422,1.0162277189259454,60.9
108000,-2715217.0042427853,300.2697952318441,2019.2211994482593,1.016678480668504,60.9
110000,-2715159.4925798457,299.60438316093524,2018.2213345840028,1.0171821623379258,60.9
112000,-2715719.7671076693,299.8442338239641,2020.0524096230884,1.0162601383058825,60.8
114000,-2714844.548452677,300.3292910119941,2020.0464286486044,1.0162631472594739,60.8
116000,-2718023.019968722,299.64627956209995,2018.4238407650487,1.0170801096020423,60.8
118000,-2717636.2975086085,301.4008662948793,2020.7269768120705,1.0159208862680573,60.8
120000,-2711069.865524886,300.64421360008896,2022.676175182599,1.014941870763551,60.7
122000,-2714111.5145905484,300.02359327591546,2022.0433824777815,1.015259493924952,60.7
124000,-2715120.130763063,299.85105305487593,2020.7226105356767,1.015923081419119,60.7
126000,-2715579.5671476126,301.02203332926337,2021.6665513401717,1.0154487345244028,60.6
128000,-2714578.25621807,300.3773351102348,2019.155918968693,1.016711350472247,60.6
130000,-2715751.4677275717,300.9372059778126,2017.9851378765643,1.017301219249248,60.5
132000,-2714893.32630343,300.44504787491667,2020.3405397786678,1.0161152047236504,60.5
134000,-2714024.6407250594,299.4634499833139,2022.5461044311212,1.0150071420824827,60.5
136000,-2715204.926141599,300.4385850106815,2023.1982278201228,1.014679981902005,60.4
138000,-2715213.8832351714,300.98877074168894,2018.6025647713607,1.016990058873335,60.4
140000,-2714754.723671494,299.20740144021084,2021.2900903192178,1.0156378597119036,60.3
142000,-2714941.5899472013,299.17360519584804,2020.0699232333257,1.0162513275297023,60.3
144000,-2716245.414041549,299.94896867334785,2022.1813342998266,1.0151902336194296,60.2
146000,-2715015.015018368,300.5988410783453,2020.1159754421362,1.0162281602368795,60.2
148000,-2718067.359298136,299.68697214775847,2019.0060727302828,1.0167868085768437,60.1
150000,-2713809.041462606,300.24190483005106,2022.181561629619,1.0151901194936808,60.1
152000,-2713938.621619789,300.1937306079358,2021.379776025298,1.0155927973244936,60
154000,-2712625.5713816024,299.6962074373001,2023.1987177344513,1.0146797361988729,60
156000,-2716542.3520271275,300.51735962456195,2022.0174469216959,1.0152725162258163,59.9
158000,-2714101.267092759,300.5283303699213,2021.8050933600578,1.0153791519918265,59.9
160000,-2712264.7842040006,299.07678078456445,2025.077692311271,1.0137382624790396,59.8
162000,-2715659.4084720425,300.6194475284645,2019.9514682110755,1.0163109230573715,59.8
164000,-2717582.9374810047,300.2105173353676,2018.6359970364945,1.0169732156775646,59.8
166000,-2712464.639237726,299.66250732747443,2019.8887830206475,1.0163424632314055,59.8
168000,-2718398.152103154,300.2483864765334,2019.6911687210918,1.0164419060606313,59.7
170000,-2714967.160026908,300.25617857887994,2019.230212946267,1.016673942389807,59.7
172000,-2716250.2766969465,300.62828371281586,2017.6570534158082,1.017466639195804,59.7
174000,-2713545.9837313686,299.53573298606216,2020.4698776537984,1.016050159368151,59.7
176000,-2712688.891914159,300.23374720848284,2022.0394399242198,1.0152614734684045,59.7
178000,-2714010.6451345887,300.36350348007363,2023.5633462442672,1.014496899738212,59.7
180000,-2714414.832509173,300.9187706677269,2024.3947356353233,1.014080260658464,59.7
182000,-2714445.8873369154,299.6942244480364,2023.279588654437,1.01463917923175,59.6
184000,-2715668.6281274837,299.6575546851243,2019.2416392113175,1.0166681893458374,59.6
186000,-2712142.793205995,300.80241768767706,2021.418654050055,1.015573264388138,59.6
188000,-2715927.7887971606,299.7052048150911,2018.9178928807703,1.0168312185590838,59.6
190000,-2715762.670064021,299.4062411766734,2019.0581932946507,1.016760560941941,59.6
192000,-2713956.2466191426,300.0275460197916,2020.1617483533678,1.0162051344957932,59.6
194000,-2717400.015344877,300.4447208484647,2024.91750318488,1.013818458263016,59.6
196000,-2717175.508259751,299.42245378720463,2022.7679788924056,1.0148958074335268,59.6
198000,-2714700.0814171713,301.2449057402257,2021.970386156655,1.0152961463945196,59.6
200000,-2717024.223417895,300.8911259441065,2023.2939321139334,1.0146319862897166,59.6
202000,-2714843.9251394644,300.98873277708117,2022.4965751034697,1.0150319987976573,59.6
204000,-2713221.4895731974,300.83053504669067,2022.7169992791332,1.0149213863928142,59.6
206000,-2711542.4778544027,298.97818803889584,2023.6554483733992,1.0144507271921201,59.6
208000,-2715845.5523006096,300.6081512874818,2022.1739236848937,1.015193953964063,59.6
210000,-2712275.1138927713,301.1984279572592,2021.1013977802809,1.0157326809250302,59.6
212000,-2715196.2399728484,300.9758032672044,2021.5474901892403,1.015508540438254,59.6
