#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
2000,-2634407.7540125214,300.24656370460644,2013.3984132476642,0.9966320686534956,0
4000,-2639026.720898146,300.0111546590138,1989.909875579877,1.0083961340379495,63.3
6000,-2643098.7697457876,300.9867805852317,1984.558712054354,1.0111151730761831,62
8000,-2645935.1935438123,300.46927796616444,1982.7013382700698,1.0120623751479798,62.3
10000,-2646297.7323469613,300.72057009941165,1979.4582707325512,1.0137204988292492,62.3
12000,-2645960.289398201,299.7284788402424,1977.8409282513778,1.0145494498350527,62.5
14000,-2646711.2653823923,299.91164224222354,1979.2357262516516,1.0138344811605084,62.6
16000,-2648777.9678875934,301.19369158907773,1976.6434590363742,1.015164073442422,62.5
18000,-2647844.925111579,301.12409315760925,1976.0970276856856,1.0154447871260368,62.6
20000,-2647250.1246625297,299.64321463748934,1976.1428965035357,1.0154212173467159,62.6
22000,-2650867.0567832235,300.3907795083678,1975.7913248124091,1.0156019010809265,62.6
24000,-2647326.197712928,300.7073509083604,1976.3154412841247,1.0153325646815123,62.6
26000,-2648749.9475444388,301.4054032559262,1977.9018732980949,1.014518188545273,62.6
28000,-2648801.7172581963,300.4015055314024,1979.2033140362512,1.0138510841145103,62.4
30000,-2648448.2935420163,300.5205944519966,1976.0747734661015,1.0154562228933326,62.2
32000,-2648373.171199655,299.48586482845326,1977.3143191885397,1.0148196501414963,62.1
34000,-2648261.34264037,301.64762975688586,1973.5465488366842,1.0167570796855512,62.1
36000,-2650511.4077880997,299.77536529337533,1973.8129518343414,1.0166198492890914,62
38000,-2646810.173209563,299.9546120882188,1977.6914376037182,1.0146261380642956,61.8
40000,-2648899.7802582067,301.4402435115924,1975.8889748029032,1.0155517092344963,61.7
42000,-2647842.838387061,300.18185180192086,1980.3621407510636,1.0132578200357152,61.6
44000,-2650024.123615211,299.77054220512974,1977.748897856472,1.0145966597647968,61.5
46000,-2647157.521028949,300.38464628344263,1978.2177796837127,1.0143561776800496,61.4
48000,-2655129.4575287253,300.9451975700184,1973.149054206531,1.0169619073332565,61.3
50000,-2648454.0876299683,299.50327245766823,1973.625531839325,1.016716389835418,61.3
52000,-2650635.4970061406,300.38654470924223,1973.5093637106825,1.0167762375577236,61.3
54000,-2647501.2392712366,299.6227407606483,1978.0935592798464,1.0144198772626423,61.3
56000,-2648580.763580419,299.9553975511373,1973.9524319267907,1.0165480146145212,61.3
58000,-2650768.073954923,299.8256278253984,1976.4587143960634,1.0152589634192473,61.2
