#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
2000,-2564436.326915618,300.55963912233284,1953.2361338146334,1.0003452413291807,0
4000,-2566165.6354403608,300.4750436239841,1938.5732311962154,1.007911612628632,35.6
6000,-2571774.969597984,300.84681415969385,1933.0128352447548,1.0108109144584518,35.3
8000,-2571791.384560544,300.94162414355094,1926.4282547034097,1.014265891752349,35.2
10000,-2573844.4640654568,300.1493891758674,1923.1154699085844,1.0160130799356288,35
12000,-2571882.675207995,299.70580274039446,1929.370286680052,1.0127192717453166,35
14000,-2574101.6570035536,300.15430913781086,1924.0690221938646,1.0155095524721793,35
16000,-2572827.2625305895,300.20136752799095,1924.6706697416303,1.0151921065622982,35
18000,-2572601.4093584623,299.9735817748183,1926.6427691392341,1.0141529623193322,35
20000,-2575712.0703422744,300.93605744987246,1925.8949010346794,1.0145467806181658,35
22000,-2575337.775397837,299.89997390910617,1923.788075213622,1.015657855887639,34.9
24000,-2572999.789276801,300.9398093976867,1924.786850596023,1.0151308291869483,34.9
26000,-2569698.052525142,301.5315608912501,1927.5393628945762,1.013681229689389,34.9
28000,-2573268.564703744,301.49932725446007,1925.5489202425993,1.014729073415337,34.8
30000,-2575821.128753407,299.7941502623766,1924.282761762275,1.0153967548221796,34.8
32000,-2575539.7860388644,300.9297472845575,1919.9336678230923,1.0176968633864876,34.7
34000,-2574181.4861803018,299.89609691835665,1921.4547524882146,1.0168912221968442,34.6
36000,-2574928.5502435435,300.2523769944202,1925.7626727511947,1.014616442254677,34.5
38000,-2575114.4345764704,300.12429503024885,1921.25080091523,1.0169991709166168,34.5
40000,-2578873.852442585,300.3642641609673,1920.0699228886801,1.0176246439578007,34.4
42000,-2576808.864809761,299.8593065137222,1921.8434903025304,1.0166855321533474,34.4
44000,-2578328.4649927244,299.9543455563665,1924.705893886267,1.0151735274777176,34.4
46000,-2575556.8631490152,301.388582092633,1923.7437885553904,1.01568123742764,34.3
48000,-2575011.73207704,301.2817067895704,1923.1703814811924,1.0159840700899352,34.2
50000,-2576139.559234794,300.1499204252044,1920.9347384423465,1.0171665036564794,34.2
52000,-2574701.8568545226,299.4553775477275,1924.063571604131,1.015512429261711,34.2
54000,-2576602.3036614787,300.88409485550517,1923.903918469343,1.0155967004881437,34.2
56000,-2576801.405608624,300.0222592186248,1921.879433608064,1.0166665179331658,34.2
58000,-2577120.6639387887,300.8229667761132,1921.3583410142048,1.0169422485876776,34.3
60000,-2576356.376978807,300.15335242779787,1920.7323479466734,1.0172736840416472,34.3
62000,-2576676.2784665097,300.69747655841354,1924.4730042883937,1.015296378436946,34.3
64000,-2578197.789366897,300.51466555869393,1921.8822577528326,1.0166650239740969,34.3
66000,-2576449.4298703466,300.7663388675801,1922.391102675259,1.0163959190898009,34.3
68000,-2578228.550059205,300.42753292694186,1919.3985582098048,1.0179805873544363,34.3
70000,-2577606.363860408,300.00876118382865,1924.5534389704592,1.015253945195162,34.3
72000,-2578267.642268516,299.71611214849906,1921.636940078881,1.0167948122258044,34.4
74000,-2579163.7400447205,300.5245789867957,1920.240430714142,1.0175342839370438,34.3
76000,-2577530.689795872,299.0746212556587,1919.8931732272367,1.0177183287595408,34.3
78000,-2579153.053487139,301.47730051124984,1926.79972733562,1.014070348844996,34.3
80000,-2576168.098039899,300.70293394026646,1924.967833725873,1.0150353878234848,34.3
